S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
147," S.Habib A. Naqvi, M. Uma Dahot, M. Yakoub Khan. J.H.Xu and M.Rafiq", Usage  of sugar cane bagasse as an energy  source  for the production  of lipase  by Aspergillus  fumigates.,Pakistan Journal Of Botany,Pak. J. Bot.,1.207,http://www.pakbs.org/pjbot/pjhtmls/PJB.html,2013, 45(1),"279-284,",W
148,"Asif Ali Bhatti, Shahabuddin Memon and Najma Memon, ",Dichromate Extraction by Calix[4]arene Appended Amberlite XAD-4 Resin,Separation Science And Technology,Separation Science and Technology ,1.2,http://http://www.tandfonline.com/action/aboutThisJournal?show=abstractingIndexing&journalCode=lsst20,2013,,,
149,"Saima Q. Memon, Najma Memon, Arfana Mallah, Rubina Soomro, and M.Y. Khuhawar,",chiff bases as chelating reagents for metal ions analysis”,Current Analytical Chemistry," Current Analytical Chemistry, ",1.194,http://www.benthamscience.com/cac/index.htm,"2014,"," 10 (3), ",393-417.,
150,Najma Memon and Paraskevas D. Tzanavaras “ ,Utilization of Organized Surfactant Assemblies as Solvents in Flow Injection Analysis with emphasis to automated derivatization,Current Analytical Chemistry,Current Analytical Chemistry,1.194,http://www.benthamscience.com/cac/index.htm,2013,,,
151,"Saima Q. Memon, Najma Memon, Arfana Mallah, Rubina Soomro, and M.Y. Khuhawar, “",Schiff bases as chelating reagents for metal ions analysis,Current Analytical Chemistry,Current Analytical Chemistry,1.194,http://www.benthamscience.com/cac/index.htm,2013,,,
152,Najma Memon and Paraskevas D. Tzanavaras,Utilization of Organized Surfactant Assemblies as Solvents in Flow Injection Analysis with emphasis to automated derivatization,Current Analytical Chemistry,"Current Analytical Chemistry, ",1.194,http://www.benthamscience.com/cac/index.htm,"2014, ","10 (3), ",338-348.,
153," Panhwar, Q.K. and Memon, S.","Synthesis, characterization and antioxidant activity of Cr(III)-rutin complex",Chemical Papers-Chemicke Zvesti,Chem Papers (Accepted).,1.193,http://www.springer.com/chemistry/journal/11696,accepted,,,
154," Panhwar, Q.K. and Memon, S. "," Synthesis, characterization and antioxidant activity of Cr(III)-rutin complex.",Chemical Papers-Chemicke Zvesti,Chem. Papers ,1.193,http://www.springer.com/chemistry/journal/11696,2014 Accepted,,,
155,"S. K. Wadhwa, T. G. Kazi , H. I. Afridi,  M. Tuzen and  D. Citak,  ","Arsenic in water, food and cigarette: A cancer risk to Pakistani population",Journal Of Environmental Science And Health Part A-Toxic/Hazardous Substanc,"J. Environ. Sci. Health, Part A",1.135,http://www.tandfonline.com/loi/lesa20,2013,48,1776-1782,
156,"S. K. Wadhwa, T. G. Kazi , H. I. Afridi,  M. Tuzen and  D. Citak,   ","Arsenic in water, food and cigarette: A cancer risk to Pakistani population ",Journal Of Environmental Science And Health Part A-Toxic/Hazardous Substanc,"J. Environ. Sci. Health, Part A ",1.135,http://www.tandfonline.com/loi/lesa20,2013,176,,
157,"Afridi, H.I., Kazi, T.G., Kazi, N., Naeemullah, Arain, S.S., Brahman, K.D., Wadhwa, S.K.,  ","Evaluation of chromium, cobalt and manganese in biological samples (scalp hair, blood, and urine) of Pakistani viral hepatitis (A-E) patients and controls.",Clinical Laboratory, Clinical Laboratory,1.084,https://www.clin-lab-publications.com/,2013,"59 ( 3-4 ) ,",247 – 256.,
158,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Sumsun Naher, ","Dermot Brabazon, Relationship between toxic metals exposure via cigarette smoking and rheumatoid arthritis.",Clinical Laboratory," Clinical Laboratory Journal. 9+10, ",1.084,https://www.clin-lab-publications.com/,2014,,,
159,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Salma Arain, Sadaf Sadia Arain, Naveed Kazi, Abdul Haleem Panhwar","Distribution of Arsenic, Cadmium, Lead and Nickel levels in Biological Samples of Pakistani hypertensive Patients and control subjects",Clinical Laboratory," Clinical laboratory,11+12,",1.084,https://www.clin-lab-publications.com/,2014,,,
160,"Hassan Imran Afridi, Tasneem Gul Kazi, Naveed Kazi, Farah Naz Talpur, Faheem Shah, Naeemullah, Sadaf Sadia Arain, Kapil Dev Brahman","Evaluation of Status of Arsenic, Cadmium, Lead and Zinc Levels in Biological Samples of Normal and Arthritis Patients of Age Groups (46 - 60) and (61 - 75) Years, ",Clinical Laboratory,Clin. Lab,1.084,https://www.clin-lab-publications.com/,2013,59(1-2),143-153,
161," H. I. Afridi, T.G. Kazi, N. Kazi, Naeemullah, S. S. Arain, K. D. Brahman, F.N. Talpur,","Evaluation of Calcium, Magnesium, Potassium and Sodium in  Biological Samples of Male Human Immunodeficiency Virus Patients with Tuberculosis and Diarrhea Compared to Healthy Control Subjects in Pakistan.",Clinical Laboratory,Clinical Lab ,1.084,https://www.clin-lab-publications.com/," 2013,",59,539-550.,
162,"Afridi, H.I., Kazi, T.G., Kazi, N., Naeemullah, Arain, S.S., Brahman, K.D., Wadhwa, S.K","Evaluation of chromium, cobalt and manganese in biological samples (scalp hair, blood, and urine) of Pakistani viral hepatitis (A-E) patients and controls. ",Clinical Laboratory,Clinical Lab ,1.084,https://www.clin-lab-publications.com/,2013,59 (3-4),247 – 256.,
