Faculty/ Department,Name of Author,Title of Research Paper,Name of Journal,Volume#,Page#,Category/ IF,source
NCEAC,"Tasneem Gul Kazi, Faheem Shah, Hafeezur Rehman, Hassan Imran Afridi, Naeemullah, Sadaf Sadia Arain",Exposure of lead to mothers and their new born infants residents of industrial and urban areas of Pakistan,Environmental Science Pollution Research journal,accepted -2014,,2.757,http://www.springer.com/environment/journal/11356
NCEAC,"Kazi, Tasneem G.; Shah, Faheem; Shaikh, Haffeezur Rehman; Afridi, Hassan Imran; Shah, Afzal; Naeemullah; Arain, Sadaf Sadia","Exposure of lead to mothers and their new born infants, residents of industrial and domestic areas of Pakistan",ENVIRON SCI POLLUT R,21,10.1007/s11356-013-2223-7,ISI,
SU Laar Campus,Khalil U Rehman Bhatti,Faceted and overall job satisfaction among University Teachers,Pakistan Global Managemen Journal for Academic & corporate studies,vol: 4 No. 4,,,
Physics,"Hussain, M. S.; Rasul, B.; Nizamani, A. H.; Tahir, M.",Feasibility of a drift-induced instability in modulated graphene,PHYSICA E,56,10.1016/j.physe.2013.09.010,ISI,
Geology,"Rage, Jean-Claude; Metais, Gregoire; Bartolini, Annachiara; Brohi, Imdad A.; Lashari, Rafiq A.; Marivaux, Laurent; Merle, Didier; Solangi, Sarfraz H.",First report of the giant snake Gigantophis (Madtsoiidae) from the Paleocene of Pakistan: Paleobiogeographic implications,GEOBIOS-LYON,47,10.1016/j.geobios.2014.03.004,ISI,
NCEAC,"Brahman, Kapil D.; Kazi, Tasneem G.; Baig, Jameel A.; Afridi, Hassan I.; Khan, Abdullah; Arain, Sadaf S.; Arain, Muhammad B.","Fluoride and arsenic exposure through water and grain crops in Nagarparkar, Pakistan",CHEMOSPHERE,100,10.1016/j.chemosphere.2013.11.035,ISI,
NCEAC," K. D. Brahman, T. G. Kazi J.A. Baig, H. I. Afridi, S.S. Arain, M.B. Arain","Fluoride and arsenic exposure through water and grain crops in Nagarparkar, Pakistan",Chemosphere ,"100, ", 182–189. ,3.499,http://www.elsevier.com/wps/find/journaldescription.cws_home/362/description
Physical Education,Dr. Soniha Aslam,Frequency of Type-2 Diabetes Mellitus in Patients with Chronic Hepatitis-C,J-LUMHS,13(2),51-56,Y,
IMCS,"Nizamani, Sarwat; Memon, Nasrullah; Galam, Serge",From public outrage to the burst of public violence: An epidemic-like model,PHYSICA A,416,10.1016/j.physa.2014.09.006,ISI,
FWB,"S.T. Qureshi, S.A. Memon, B. Waryani, A.R. Abbasi, W. Patoli, Y. Soomro, H. Bux, and F.A. Bughio ",Gamma Rays Induced Phenotypic Mutations In Chickpea (Cicerarietinum L.) ,Sindh Univ. Res. Jour. (Sci. Ser) ,Vol. 46 (4): 473-478,,,
Physiology,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K. ",Gas chromatographic coupled mass spectroscopic study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan.,Int Food Res J Accepted,,,,http://www.ifrj.upm.edu.my/
Physiology,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K. ",Gas chromatographic coupled mass spectroscopic study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan.,Int Food Res J Accepted,,,,http://www.ifrj.upm.edu.my/
Zoology,"Khatri, Imran; Rustamani, Maqsood Anwar; Ahmed, Zubair; Sultana, Riffat","Genus Exitianus (Auchenorrhyncha, Cicadellidae, Deltocephalinae, and Chiasmini) in Tando Jam, Sindh, Pakistan",J INSECT SCI,14,10.1093/jisesa/ieu097,ISI,
NCEAC,"Junejo, Yasmeen; Baykal, A.; Sirajuddin",Green Chemical Synthesis of Silver Nanoparticles and its Catalytic Activity,J INORG ORGANOMET P,24,10.1007/s10904-013-9974-y,ISI,
FWB,"Muhsan Ali Kalhoro, Qun Liu, Baradi Waryani,  Sher Khan Panhwar and Khadim Hussain Memon","Growth and Mortality of Brushtooth Lizardfish, Saurida undosquamis, from Pakistani Waters ",Pakistan J. Zool,"46(1), pp. 139-151 ",,0.585,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Hayat-ul- Mutanabbi wa Sheruhu Fil- Madeeh,"The Islamic Culture Research Journal Shaikh Zayed Islamic Center, Karachi University.ISSN: 1813-775",,Accepted & Written in Arabic,Z,
Biochemistry,"Naseem A. Channa, Ayesha Khan.  ","Hazards of Mainpuri chewing in Hyderabad and adjoining areas, Pakistan. ",Rawal Medical Journal. ," 2014, 39(2): 216-19 ",,Z,
Biochemistry,"Sumera Qureshi, Sikandar Ali Memon, Allah Buxghanghro, Muhammad Faisal Qureshi, Moina Akhtar Mughal, Tahira Qureshi.Http://Www.Als-Journal.Com/Articles/Vol1issue4/144.14/4.1pdf.Pdf",Hemoglobin Adducts In Paint Industry Workers: An Electrophoretic Analysis.,International Journal Of Advancements In Life Sciences,1 (4),208-214,,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Hub-un-Nabi (saws) fee Sher Iqbal,The Islamic Culture Bi Annual Research Refereed Journal Shaikh Zayed Islamic Center University of Karachi ISSN: 1813-775  (Arabic Section),Vol: (xxx),PP: 3-11,Z,
Commerce,Prof. Dr. Hakim Ali Kanasro,Human Resources Development: A state of Technical and Vocational School Education,Grassroots,Vol: 48 No. II,227-236,Y,
FWB,"Laghari, Muhammad Y.; Lashari, Punhal; Zhang, Yan; Sun, Xiaowen",Identification of Quantitative Trait Loci (QTLs) in Aquaculture Species,REV FISH SCI AQUAC,22,10.1080/23308249.2014.931172,ISI,
NCEAC," Laghari A.Q., Memon S., Nelofar A. and Laghari A.H.",Identification of various alkaloids in Tecomella undulata G. Don flowers. ,J. King Saud University (Science) http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014 ( Accepted),26 issue 4,300-304,,http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014
NCEAC," Laghari A.Q., Memon S., Nelofar A. and Laghari A.H.",Identification of various alkaloids in Tecomella undulata G. Don flowers. ,J. King Saud University (Science) http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014 ( Accepted),26 issue 4,300-304,,http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014
Plant Sciences,"Memon, Rabia Asma; Bhatti, G. Raza; Khalid, Shahida; Ahmed, Shakeel","ILLUSTRATED WEED FLORA OF COTTON CROP OF KHAIRPUR DISTRICT, SINDH, PAKISTAN",PAK J BOT,46,,ISI,
Biochemistry,"Shaista Khan, Allah Bux Ghanghro, A.N Memon, Muhammad Yakoob Khan, Ibtessamtahir.Http://Www.Researchgate.Net/Publication/262973800_Immunological_Study_Among_The_Workers_Of_Bakery_And_Flour_Mill_In_Hyderabad_And_Adjoining_Areas",Immunological Study Among The Workers Of Bakery And Flour Mill In Hyderabad And Adjoining Areas.,Rawal Medical Journal,39 (2),159-162,Y,
Physical Education,Dr. Muhammad Akram Ansari,Impact of Teaching Techniques on the performance of Learners in Pakistan,IRJAH,42(42),223-242,Z,
SU Laar Campus,Abdul Qadir Patoli,Impact on Inflation on Texas,Journal of Management of Social Sciences,"vol: 8, issue 2",,,
,"Chand, Ram; Khaskheli, Murad Ali; Qadir, Abdul; Sandali, Yahya; Shi, Qingfan",Influence of spontaneous percolation on apparent mass at the bottom of a Janssen granular column,PHYSICA A,393,10.1016/j.physa.2013.09.022,ISI,
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Kazi, Atif; Arain, Sadaf Sadia; Arain, Salma Aslam; Brahman, Kapil Dev; Panhwar, Abdul Haleem; Naeemullah; Shezadi, Mariam; Ali, Jamshed",Interaction Between Essential Elements Selenium and Zinc with Cadmium and Mercury in Samples from Hypertensive Patients,BIOL TRACE ELEM RES,160,10.1007/s12011-014-0048-y,ISI,
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Kazi, Atif; Arain, Sadaf Sadia; Arain, Salma Aslam; Brahman, Kapil Dev; Panhwar, Abdul Haleem; Naeemullah",Interaction Between Selenium and Mercury in Biological Samples of Pakistani Myocardial Infarction Patients at Different Stages as Related to Controls,BIOL TRACE ELEM RES,158,10.1007/s12011-014-9932-8,ISI,
Pharmacy,"Abdul Malik Ahmed, Abdullah Dayo, Muhammad Ali Ghoto",in-vitro study of stability and quantity of some clinically and non-clinically used cortisons,"International journal of biology, pharmacy and allied sciences",3(12),2720-2733,0.812,
CRIC,Dr. Bashir Ahmed Rind,Islam ka dars e Rawadari,Usool e Deen,"V  1, N0.2,",,,NA
CRIC,Dr. Bashir Ahmed Rind,Islam ka dars e Rawadari,Usool e Deen,"V  1, N0.2,",,,NA
,"amran Abro, S. A. Mahesar, Seema Iqbal, Shahnaz Perveen.",K Quantification of malachite green in fish feed samples utilizing liquid chromatography tandem mass spectrometry with monolithic column. ,"Food Addit Contam Part A, ","31 (5),",827-32.,2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp
NCEAC," Sin Tee Tan, Akrajas Ali Umar, Aamna Bolouch, Muhammad Yahaya, Suratun Nafisah, Chi Chin Yap, Muhamad Mat Salleh ,","Kityk and Munetaka Oyama,Ag-ZnO Nanoreactor Grown on FTO Substrate Exhibiting High Heterogeneous Photocatalytic Efficiency,",ACS Combinatorial Science,"I. V.  , ",,,
,"Bawany, Faizan Imran; Khan, Muhammad Shahzeb; Shoaib, Atif Bilal; Naeem, Muhammad; Kazi, Abdul Nafey; Shehzad, Abdul Moid",Knowledge and Practices of Barbers Regarding HIV Transmission in Karachi: A Cross-Sectional Study,J COMMUN HEALTH,39,10.1007/s10900-014-9835-9,ISI,
NCEAC,"Soomro, Razium A.; Nafady, Ayman; Sirajuddin; Memon, Najma; Sherazi, Tufail H.; Kalwar, Nazar H.",L-cysteine protected copper nanoparticles as colorimetric sensor for mercuric ions,TALANTA,130,10.1016/j.talanta.2014.07.023,ISI,
FWB,"Waryani, B.; Dai, R.; Panhwar, S. K.; Zhao, Y.; Zhang, J.; Zhang, C.; Cao, W.","Length- weight relationships for five loach species collected from the Jinshajiang River, China",J APPL ICHTHYOL,30,10.1111/jai.12387,ISI,
FWB,"Murtaza Hasan,Javed Iqbal, Umer Awan, Nian Xin, Hao Dang, Baradi Waryani, Yasmeen Saeed, Kaleem Ullah, Dai Rongji, Yulin Deng.","LX loaded Nanoliposomes synthesis, characterization and cellular uptake studies in H2O2 stressed SH-SY5Y., Cells ",J. Nanosci. Nanotechnol,June; 14(6); 4066-71  ,DOI: 10. 1007/s13131-014-0463-0 ,0.684,
SU Laar Campus,A.A. Pirzado,Macronization (Densification) of graphene via vibratory compaction,Manufacturing letters,submitted,,,
FWB,"Laghari, Muhammad Younis; Lashari, Punhal; Zhang, Xiaofeng; Xu, Peng; Narejo, Naeem Tariq; Liu, Yongxin; Mehboob, Shahid; Al-Ghanim, K.; Zhang, Yan; Sun, Xiaowen",Mapping QTLs for Swimming Ability Related Traits in Cyprinus carpio L.,MAR BIOTECHNOL,16,10.1007/s10126-014-9578-8,ISI,
FWB,"Laghari, M. Y.; Lashari, P.; Zhang, X.; Xu, P.; Xin, B.; Zhang, Y.; Narejo, N. T.; Sun, X.","Mapping quantitative trait loci (QTL) for body weight, length and condition factor traits in backcross (BC1) family of Common carp (Cyprinus carpio L.)",MOL BIOL REP,41,10.1007/s11033-013-2911-x,ISI,
Pharmacy,"Abbas Ali Ghoto, Ghulam Hyder Talpur, Sumera Dero, Muhammad Ali Ghoto",Measuring the independence of homogeneity of problems faced by women councilors,Int. J. of Adv. Res.,2(3),723-730,1.659,
IARSCS,"Kandhro, Abdul Jabbar; Khuhawar, Muhammad Yar",Micellar Electrokinetic Capillary Chromatography Determination of Guanidino Compounds in Serum of Uremic Patients by using Pyridoin as Derivatizing Reagent.,J CHEM SOC PAKISTAN,36,,ISI,
Commerce,Dr. Jawed Ahmed Chandio,Modelling the Relationship of unclear career development with job dissatisfaction,IRJAH,,,,
NCEAC,"Jalbani, Nusrat; Soylak, Mustafa; Munshi, Alia Bano; Kazi, Tasneem Gul",MULTIVARIATE OPTIMIZATION OF PARAMETERS FOR THE DETERMINATION OF THORIUM IN ROCK SAMPLES BY CLOUD POINT EXTRACTION COUPLED TO UV-VISIBLE SPECTROPHOTOMETRY,FRESEN ENVIRON BULL,23,,ISI,
NCEAC,"Shar, Z. H.; Sumbal, G. A.; Sherazi, S. T. H.; Bhanger, M. I.; Nizamani, S. M.",Natural co-occurrence of aflatoxins and deoxynivalenol in poultry feed in Pakistan,FOOD ADDIT CONTAM B,7,10.1080/19393210.2013.867904,ISI,
FWB,"A. Malik, B. Waryani, I.B. Kalhoro, H. Kalhoro, S.A. Shah and N.T. Narejo ","Observe the growth Performance and adaptation of Exotic Fish Red Tilapia (hybrid) in climate of Fish Hatchery Chilya, Thatta, Sindh-Pakistan ",Sindh Univ. Res. Jour. (Sci. Ser) ,Vol. 46 (4): 461-464 ,,,
NCEAC," Tasneem Gul Kazi, Faheem Shah, Hassan Imran Afridi and Naeemullah,",Occupational and environmental lead exposure to adolescent workers in battery recycling workshops.,  Toxicology and Industrial Health,,,1.71,http://tih.sagepub.com/
Pharmacy,"A. R. RAJPAR, I. KHTRI, M. A. RUSTAMANI, S_UR_ REHMAN, B. A. PIRZADO",On some common Acridinae Grasshoppers found in Tandojam,Sindh University Research Journal (Science Series),"Vol 46, No 4 (2014)",,X,
IICT,"S. NIZAMANI, SAAD NIZAMANI, SEHRISH NIZAMANI, I. A. ISMAILI",On the computational models for the analysis of illicit activities†,Sindh University Research Journal (Science Series),"Vol 46, No 4 (2014)",,X,
NCEAC,"Chandio, Zaheer Ahmed; Talpur, Farah Naz; Khan, Humaira; Afridi, Hassan Imran; Khaskheli, Ghulam Quadir; Mughal, Moina Akhtar",On-line preconcentration and determination of ultra trace amounts of mercury using surfactant coated alumina modified by dithizone with cold vapor atomic absorption spectrometry,RSC ADV,4,10.1039/c3ra43712d,ISI,
NCEAC," Zaheer A. Chandio, Farah N. Talpur, H.I. Afridi, Humaira Khan,Ghulam Quadir Khaskheli",On-line preconcentration and determination of ultra trace amounts of mercury using surfactant coated alumina modified by dithizone with cold vapor atomic absorption spectrometry. ,"RSC Advances,  ",14,326-333,,NA
Pharmacy,"Abdullah Dayo, Muhammad Ali Ghoto, Naheed Memon, ",Penetration enhancing effect of Eucalyptus Oil towards various drugs with different solubility of water,Jokull Journal,"vol: 64, No. 2",54-8,1.604,
Plant Sciences,"Amir, Rabia; Minhas, Nasir M.; Kazi, Alvina Gul; Farrakh, Sumaira; Ali, Ahmad; Bux, Hadi; Kazi, Mujeeb",Phenotypic and genotypic characterization of wheat landraces of Pakistan,EMIR J FOOD AGR,26,10.9755/ejfa.v26i2.17008,ISI,
NCEAC,"W Jamil, S Perveen, SAA Shah, M Taha, NH Ismail",Phenoxyacetohydrazide Schiff bases: ?-Glucuronidase inhibitors … - Molecules,mdpi.com ,,,,NA
NCEAC,"W Jamil, S Perveen, SAA Shah, M Taha, NH Ismail",Phenoxyacetohydrazide Schiff bases: ?-Glucuronidase inhibitors … - Molecules,mdpi.com ,,,,NA
NCEAC,"Jamil, Waqas; Perveen, Shagufta; Shah, Syed Adnan Ali; Taha, Muhammad; Ismail, Nor Hadiani; Perveen, Shahnaz; Ambreen, Nida; Khan, Khalid M.; Choudhary, Muhammad I.",Phenoxyacetohydrazide Schiff Bases: beta-Glucuronidase Inhibitors,MOLECULES,19,10.3390/molecules19078788,ISI,
Zoology,"Memon, N.; Gilbert, F.; Shaikh, A. M.",PHYLOGENY OF THE WORLD SPECIES OF MUSTHA AMYOT AND SERVILLE (HEMIPTERA: PENTATOMIDAE: PENTATOMINAE: HALYINI) BASED ON MORPHOLOGICAL CHARACTERS,J ANIM PLANT SCI,24,,ISI,
SU Laar Campus,Muhammad Tufail chandio,Poetry of Moulvi Ahmed Mallah,Sidhi Boli Research Journal,vol:7 ser II & III,132-144,,
IBA,"Wisniewski, Tomasz P.; Pathan, Saima K.",Political environment and foreign direct investment: Evidence from OECD countries,EUR J POLIT ECON,36,10.1016/j.ejpoleco.2014.07.004,ISI,
NCEAC,"Wadhwa, Sham Kumar; Tuzen, Mustafa; Kazi, Tasneem Gul; Soylak, Mustafa; Hazer, Baki","Polyhydroxybutyrate-b-polyethyleneglycol block copolymer for the solid phase extraction of lead and copper in water, baby foods, tea and coffee samples",FOOD CHEM,152,10.1016/j.foodchem.2013.11.133,ISI,
NCEAC," S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak, B. Hazer, ","Polyhydroxybutyrate-b-polyethyleneglycol block copolymer for the solid phase extraction of lead and copper in water, baby foods, tea and coffee samples.",Food Chemistry (,,152 75,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description
Education,"Kalhoro, Muhsan Ali; Liu Qun; Memon, Khadim Hussain; Chang, Mohammad Saleem; Zhang Kui",Population dynamics of Japanese threadfin bream Nemipterus japonicus from Pakistani waters,ACTA OCEANOL SIN,33,10.1007/s13131-014-0401-1,ISI,
Zoology,"Rustamani, Maqsood Anwar; Khatri, Imran; Sultana, Riffat; Laghari, Mujahid Hussain","Population Fluctuation of Red Flour Beetle, Tribolium castaneum (Herbst.) (Coleoptera: Tenebrionidae) on Different Cereal Foods in Laboratory",PAK J ZOOL,46,,ISI,
NCEAC,"Akrajas Ali Umar, Suratun Nafisah, Siti Khatijah Md Saad, Aamna Balouch, Sin Tee Tan, Muhamad Mat Salleh, Munetaka Oyama, ",Poriferous microtablet of anatase TiO2 growth on an ITO surface for high-efficiency dye-sensitized solar cells.  ,Solar Energy Materials and Solar Cells,122,174–182.,5.03,http://www.elsevier.com/wps/find/journaldescription.cws_home/505675/description#description
NCEAC,"Arain, Mariam S.; Kazi, Tasneem G.; Afridi, Hassan I.; Arain, Salma A.; Ali, Jamshed; Naeemullah; Arain, Sadaf S.; Panhwar, Abdul Haleem; Shanker, Bhawani",Preconcentration and determination of manganese in biological samples by dual-cloud point extraction coupled with flame atomic absorption spectrometry,J ANAL ATOM SPECTROM,29,10.1039/c4ja00266k,ISI,
NCEAC,"Pekiner, Ozlem Zeynep; Naeemullah; Tuzen, Mustafa",Preconcentration and speciation of vanadium by three phases liquid-liquid microextraction prior to electrothermal atomic absorption spectrometry,J IND ENG CHEM,20,10.1016/j.jiec.2013.08.037,ISI,
NCEAC,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Preconcentration of toxic elements in artificial saliva extract of different smokeless tobacco products by dual-cloud point extraction,Microchemical Journal,"112, January 2014, ",42-49,ISI,NA
NCEAC,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Preconcentration of toxic elements in artificial saliva extract of different smokeless tobacco products by dual-cloud point extraction,Microchemical Journal,"112, January 2014, ",42-49,,NA
IARSCS,"Shah, Ambreen; Khuhawar, M. Y.; Shah, Asif Ali","Preparation and Characterization of Poly Metal Complexes Derived from 5,5 '-Methylenebis(2-Hydroxy Benzaldehyde) and 6,6 '-Methylenebis(2-hydroxy naphthaldehyde) with Hydrazine and 4-Amino Phenyl Ether",ASIAN J CHEM,26,,ISI,
NCEAC,"Farrukh, Sarah; Minhas, Fozia T.; Hussain, Arshad; Memon, Shahabuddin; Bhanger, M. I.; Mujahid, M.","Preparation, Characterization, and Applicability of Novel Calix[4] arene- Based Cellulose Acetate Membranes in Gas Permeation",J APPL POLYM SCI,131,,ISI,
Pharmacy,"Ghoto, M.A., Imran Suheriyani, A. Dayo",Prescibing trend of of private consultant in Hyd,Int. J. of Adv. Res.,2(3),956-962,1.659,
Pharmacy,"Fahad Jibran Siyal, Abdullah Dayo, Jawaid Akbar Siyal",Prescription trend of challenging problems in cardiac patients,Int. J. Pharm. Sci. Rev. Res.,24(1),263-267,1.704,
Pharmacy,"Mudassar Iqbal Arain, Muhammad Ali Ghoto, Abdullah Dayo",Prevalence of self medication in the urban settings of Hyderabad,"International journal of biology, pharmacy and allied sciences",3(12),2744-2752,0.812,
Biochemistry,"Sumera Qureshi, Allah Buxghanghro,Shista Khan, Ambreen Shah.Http://Www.Als-Journal.Com/Manuscriptid30-84-1/",Protein Toxicity In Kotri Paint Industry Workers Exposed To Phthalic Anhydride And TrimelliticAnhydrine.,International Journal Of Advancements In Life Sciences,1 (2),Pp: 3-8,,
NCEAC,"Memon, Shahabuddin; Laghari, Abdul Hafeez; Kandhro, Aftab A.; Memon, Fakhar N.; Nelofar, Aisha",Purification of flavonoid metal complexes from Alhagi camelorum with calix[4]arene based impregnated resin,ANAL METHODS-UK,6,10.1039/c4ay00167b,ISI,
FWB,"Punhal, Lashari; Laghari, Muhammad Younis; Narejo, Naeem Tariq; Zhang, Xiaofeng; Xu, Peng; Sun, Xiaowen; Zhang, Yan",QTL for Short-Duration Vigorous Swimming Movements in Common Carp (Cyprinus carpio L.) Based on LDH Activity,PAK J ZOOL,46,,ISI,
NCEAC,"Ali, M.; Sherazi, S. T. H.; Mahesar, S. A.",Quantification of erythromycin in pharmaceutical formulation by transmission Fourier transform infrared spectroscopy,ARAB J CHEM,7,10.1016/j.arabjc.2012.09.003,ISI,
NCEAC,"Abro, Kamran; Mahesar, Sarfaraz Ahmed; Iqbal, Seema; Perveen, Shahnaz",Quantification of malachite green in fish feed utilising liquid chromatography-tandem mass spectrometry with a monolithic column,FOOD ADDIT CONTAM A,31,10.1080/19440049.2014.893398,ISI,
NCEAC,"Jawaid, Sana; Talpur, Farah N.; Afridi, Hassan Imran; Nizamani, Shafi M.; Khaskheli, Abid A.; Naz, Saba",Quick determination of melamine in infant powder and liquid milk by Fourier transform infrared spectroscopy,ANAL METHODS-UK,6,10.1039/c4ay00558a,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Quran men Shaqq ul Qamar ji Haqiqat aen un jy asarat jo Tahqiqi Jaezo,"Peace, Department of Islamic Culture, University of sindh Jamshoro",,Accepted for Publication,Z,
,"Pakistan Study Center University of Sindh, Jamshoro.    ",Ramification of Black Magic in Pakistan,Published in Gross roots, Vol. XLVII No. I ,,Z,NA
,"Pakistan Study Center University of Sindh, Jamshoro.    ",Ramification of Black Magic in Pakistan,Published in Gross roots, Vol. XLVII No. I ,,Z,NA
NCEAC,"Safdar, M.; Junejo, Y.; Arman, K.; Abasiyanik, M. F.",Rapid Bovine and Caprine species Identification in Ruminant Feeds by Duplex Real-Time PCR Melting Curve Analysis Using EvaGreen Fluorescence Dye,MOL BIOTECHNOL,56,10.1007/s12033-014-9756-y,ISI,
NCEAC," S.Khan, M. Soylak, T.G. Kazi",Rapid ionic liquid-based ultrasound assisted dual magnetic microextraction to preconcentrate and separate cadmium -4-(2-thiazolylazo)-resorcinol complex from environmental and biological samples.,Spectrochimica Acta Part A,"123, ",194–199,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description
NCEAC,"Khan, Sumaira; Kazi, Tasneem Gul; Soylak, Mustafa",Rapid ionic liquid-based ultrasound assisted dual magnetic microextraction to preconcentrate and separate cadmium-4-(2-thiazolylazo)-resorcinol complex from environmental and biological samples,SPECTROCHIM ACTA A,123,10.1016/j.saa.2013.12.065,ISI,
NCEAC,"Memon, Fakhar N.; Memon, Shahabuddin; Minhas, Fozia T.",Rapid transfer of methyl red using calix[6]arene as a carrier in a bulk liquid membrane,CR CHIM,17,10.1016/j.crci.2013.09.015,ISI,
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Naher, Sumsun; Brabazon, Dermot",Relationship between Toxic Metals Exposure via Cigarette Smoking and Rheumatoid Arthritis,CLIN LAB,60,10.7754/Clin.Lab.2014.131117,ISI,
NCEAC, Memon S.; Memon N. and Memon S,Removal of carbofuran and methylparathion from aqueous media through calix[4]arene based impregnated resin. ,"Desal. Water Treat 1-11, ",,,0.988,http://www.deswater.com/
NCEAC,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica. , Pak. J. Anal. Environ. Chem,,,Z,NA
NCEAC,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica. , Pak. J. Anal. Environ. Chem,,,Z,NA
Commerce,"Jhatial, A.A, Conelius, N. & Wallace, J.",Rhetorics and realities of management practices in Pakistan,Business History,"56, issue 3",456-484,0.27,
,"Khan, Qaisar; Sultana, Nighat; Bughio, Qasim; Naz, Arab",Role of Language in Gender Identity Formation in Pakistani School Textbooks,INDIAN J GEND STUD,21,10.1177/0971521513511200,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Roya –e Sadiqa Anbiya key Khuwab orr un ki Fazeelat wa Ahmiyat,The Islamic Culture Bi Annual Research Refereed Journal Shaikh Zayed Islamic Center University of Karachi ISSN: 1813-775  (Urdu Section),Vol: (xxx),PP: 49-56,Z,
,"Memon, Imran; Domenic, Kamenyi; Memon, Hina; Akhtar, Rizwan; Yong, Wang; Zhang, Fengli",Rumor Riding: An Anonymity Approach for Decentralized Peer to Peer Systems,WIRELESS PERS COMMUN,79,10.1007/s11277-014-1878-9,ISI,
NCEAC,"ana Jawaid, Farah Naz Talpur, Hassan Imran Afridi, Shafi Ahmed Nizamani, Abid Ali Khaskheli and   Saba Naz.",S Quick determination of melamine in infant powder and liquid milk by Fourier Transform Infrared spectroscopy.,Analytical Methods. DOI: 10.1039/C4AY00558A,,,1.938,http://pubs.rsc.org/en/journals/journalissues/ay
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Sahabiyat ki sher say dilchaspi oor Rasaee Shaeri,Tahqiq Bi-Annual Research JournalISSN: 2071-467 ,vol: 28,PP: 166-175,Z,
NCEAC,"Mahesar, S. A.; Kandhro, Aftab A.; Khaskheli, Abdul Rauf; Talpur, M. Y.; Sherazi, S. T. H.",SB-ATR FTIR Spectroscopic Monitoring of Free Fatty Acids in Commercially Available Nigella sativa (Kalonji) Oil,J SPECTROSC,,10.1155/2014/510890,ISI,
chemistry,"Siyal, Ali N.; Memon, Saima Q.; Elci, Aydan; Akdogan, Abdullah; Hol, Aysen; Kartal, Aslihan A.; Elci, Latif",Schiff base-functionalised styrofoam resin for preconcentration of metal ions in wastewater and wastewater-irrigated vegetables samples,INT J ENVIRON AN CH,94,10.1080/03067319.2014.974590,ISI,
chemistry,"Memon, Saima Q.; Memon, Najma; Mallah, Arfana; Soomro, Rubina; Khuhawar, M. Y.",Schiff Bases as Chelating Reagents for Metal Ions Analysis,CURR ANAL CHEM,10,,ISI,
chemistry,"Mallah, Arfana; Memon, Saima Qayyum; Solangi, Amber Rehana; Khan, Abdullah; Khuhawar, Muhammad Yar; Bhanger, Muhammad Iqbal","Separation and Determination of Chromium (III) Chromium (VI), Gold (III) and Arsenic (V) by Capillary Zone Electrophoresis Using 2-Acetylpyridine-4-phenylthiosemicarbazone as Complexing Reagent",J CHEM SOC PAKISTAN,36,,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Shah Abdul Latif Poetry Reflects the Quranic verses of Islamic Traditions,"Irjah International Research Journal of Arts and Humanities University of Sindh, Pakistan ISSN: 1016- 9342.",Vol: 42,PP: 199-210,Z,
Geology,"Agheem, Muhammad Hassan; Shah, Mohammad Tahir; Khan, Tahseenullah; Murata, Mamoru; Arif, Muhammad; Dars, Humaira","Shigar valley gemstones, their chemical composition and origin, Skardu, Gilgit-Baltistan, Pakistan",ARAB J GEOSCI,7,10.1007/s12517-013-1045-8,ISI,
Physical Education,Dr. Soniha Aslam,Significance of advance technology using modern equipment in International sports competitions,The Shield,9,58-65,Y,
