Faculty/ Department,Name of Author,Title of Research Paper,Name of Journal,Volume#,Page#,Category/ IF,source
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,An Analysis of the Trend of Muslims to communicate their faith tradition to their children in Pakistan,"Irjah International Research Journal of Arts and Humanities University of Sindh, Jamshoro. ISSN: 1016- 9342",Vol: 42 ,PP: 99-110,Z,
NCEAC,"Memon, Shahabuddin; Memon, Sibghatullah; Memon, Najma",An efficient p-tetranitrocalix[4]arene based adsorbent for the removal of carbofuran from aqueous media,J IRAN CHEM SOC,11,10.1007/s13738-014-0432-8,ISI,
NCEAC, Memon S.; Memon N. and Memon S,An efficient p-tetranitrocalix[4]arene based adsorbent for the removal of carbofuran from aqueous media, J. Iran. Chem. Soc  Accepted 10.1007/s13738-014-0432-8.,,,1.406,http://www.springer.com/chemistry/analytical+chemistry/journal/13738
,"Khan, Khalid M.; Jamil, Waqas; Ambreen, Nida; Taha, Muhammad; Perveen, Shahnaz; Morales, Guillermo A.",An expeditious synthetic approach towards the synthesis of Bis-Schiff bases (aldazines) using ultrasound,ULTRASON SONOCHEM,21,10.1016/j.ultsonch.2013.12.011,ISI,
Biochemistry,"Dadu Khan Burdi1, Sumera Qureshi1*, Allah Bux Ghanghro2.Http://Www.Als-Journal.Com/An-Overview-Of-Available-Hypoglycemic-Triterpenoids-And-Saponins-To-Cure-Diabetes-Mellitus/",An Overview Of Available Hypoglycemic Triterpenoids And Saponins To Cure Diabetes Mellitus. ,International Journal Of Advancements In Life Sciences,1 (3),119-128,,
SU Laar Campus,Abdul Qadir Patoli,Analysis of environment conducive for Islamic Banking in Sindh,Journal of Management of Social Sciences,"vol: 8, issue 1",,,
IMCS,"Shaikh, Abdul Wasim; Memon, Ghulam Qadir",Analytical and numerical solutions of fluid flow filled with and without porous media in circular pipes,APPL MATH COMPUT,232,10.1016/j.amc.2014.01.038,ISI,
NCEAC," S. A. Mahesar, S. T. H. Sherazi, A. R. Khaskheli, A. A. Kandhro, Sirajuddin. ",Analytical approach for free fatty acids assessment in oils and fats.,Anal Meth Available online. ,,,1.938,http://pubs.rsc.org/en/journals/journalissues/ay
NCEAC,"Mahesar, S. A.; Sherazi, S. T. H.; Khaskheli, Abdul Rauf; Kandhro, Aftab A.; Uddin, Siraj",Analytical approaches for the assessment of free fatty acids in oils and fats,ANAL METHODS-UK,6,10.1039/c4ay00344f,ISI,
NCEAC,"Arain, Salma Aslam; Kazi, Tasneem G.; Afridi, Hassan Imran; Abbasi, Abdul Rasool; Panhwar, Abdul Haleem; Naeemullah; Shanker, Bhawani; Arain, Mohammad Balal",Application of dual-cloud point extraction for the trace levels of copper in serum of different viral hepatitis patients by flame atomic absorption spectrometry: A multivariate study,SPECTROCHIM ACTA A,133,10.1016/j.saa.2014.05.077,ISI,
NCEAC,"Salma Aslam Arain, Tasneem G Kazi, Hassan Imran Afridi, Abdul Rasool Abbasi, Abdul Haleem Panhwar, Naeemullah, Bhawani Shanker, Mohammad Bilal Arain, ",Application of dual-cloud point extraction for the trace levels of copper in serum of different viral hepatitis patients by flame atomic absorption spectrometry: A multivariate study,Spectrochimica Acta Part A: (Accepted) 2014.,,,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description
NCEAC,"Talpur, M. Younis; Kara, Huseyin; Sherazi, S. T. H.; Ayyildiz, H. Filiz; Topkafa, Mustafa; Arslan, Fatma Nur; Naz, Saba; Durmaz, Fatih; Sirajuddin",Application of multivariate chemometric techniques for simultaneous determination of five parameters of cottonseed oil by single bounce attenuated total reflectance Fourier transform infrared spectroscopy,TALANTA,129,10.1016/j.talanta.2014.04.002,ISI,
NCEAC,"Memon, Shahabuddin; Bhatti, Ashfaque Ali",Arsenate and Dichromate Removal Efficiency of a New Calix[4]arene Impregnated Resin,POLYCYCL AROMAT COMP,34,10.1080/10406638.2014.892888,ISI,
NCEAC,Memon S. and Bhatti A.A,Arsenate and dichromate removal efficiency of a new calix[4]arene impregnated resin, Polycyclic Aromatic Compounds. ,34 (3)," 280–308, ",0.833,http://www.tandfonline.com/openurl?genre=journal&issn=1040-6638
FWB,"Ghulam Murtaza Mastoi, Baradi Waryani, Zulfiqar Ali Laghari, Zameer Ali Palh, Khalid Hussain Lashari, Khalida Faryal Almani, Gul-e-Rana and Abdul Waheed Mastoi ",Assessment of Chemistry of Soil Irrigated on Phuleli Canal. ,Science Journal of Chemistry. ,"Vol. 2, No. 4, pp. 33-37",,1.34,
IICT,"Memon, S. A.; Laghari, N. A.; Qureshi, S. T.; Mehdi, F.",Assessment of molybdenum breakthrough levels in molybdenum-99/technetium-99m generators: One year experience at NIMRA Jamshoro Pakistan,INT J RADIAT RES,12,,ISI,
Biochemistry,"Ibtessam Tahir Ansari, Allah Nawaz Memon, Allah Buxghanghro,Mumtaz Ali Sahito, Nazo Noor Ulain, Zainababeer Ansari, Shaista Khan, Imran Suheryani.Http://Www.Scopemed.Org/?Mno=159531",Association Of Rice Allergy With Asthma And Serum Ige Levels In Different Age Groups.,Rawal Medical Journal,39 (3),257-260,Y,
,"hatti, A.A.; Memon S.; Memon N.; Bhatti, A.A. and Solangi,",B I.B. Evaluation of chromium(VI) sorption efficiency of modified Amberlite XAD-4 resin, Arab. J. Chem.,,,2.684,NA
Commerce,Prof. Dr. Hakim Ali Kanasro,Bureaucracy Pill or Panacea: A Critical Analysis of the Role of Bureaucracy in Pakistan,Grassroots,Vol: III No. 3,45-52,Y,
NCEAC,"Memon, F., Memon S. and Minhas F.T.",Calix[4]arene mediated transport of methyl red through bulk liquid membrane. Comptes rendus Chimie ,http://dx.doi.org/10.1016/j.crci.2013.09.015,,,,NA
NCEAC,"Memon, F., Memon S. and Minhas F.T.",Calix[4]arene mediated transport of methyl red through bulk liquid membrane. Comptes rendus Chimie ,http://dx.doi.org/10.1016/j.crci.2013.09.015,,,,NA
NCEAC,"Naz, Saba; Sherazi, Syed Tufail Hussain; Talpur, Farah Naz; Kara, Huseyin; Uddin, Siraj; Khaskheli, Abdul Rauf",Chemical Characterization of Canola and Sunflower Oil Deodorizer Distillates,POL J FOOD NUTR SCI,64,10.2478/pjfns-2013-0008,ISI,
chemistry,"Saima Q. Memon, Najma Memon, Arfana Mallah, Rubina Soomro, and M.Y. Khuhawar,",chiff bases as chelating reagents for metal ions analysis”," Current Analytical Chemistry, "," 10 (3), ",393-417.,1.194,http://www.benthamscience.com/cac/index.htm
NCEAC,"M. B. Arain T.G. Kazi, J. A. Baig, H. I. Afridi, Sarajuddin, K. D. Brahman, H. Panhwar, S.S. Arain",Co-exposure of arsenic and cadmium through drinking water and tobacco smoking: Risk assessment on kidney dysfunction,Environmental Science and Pollution Research,1,,2.757,http://www.springer.com/environment/journal/11356
Pharmacy,"Muhammad Imran Shaikh, Muhammad Ali Ghoto, Abdullah Dayo",Comparative effects of Vitamin E and its combination with vitamin C,World J. of Pharmacy and Pharmaceutical science,3(4),1418-1428,1.0408,
Pharmacy,"U. R. Mughal, M. L. Maheshwari, Muhammad Ali Ghoto",Comparative study of tuberclosis regimen,World J. of Pharmacy and Pharmaceutical science,3(3),12-23,1.0408,
Physical Education,Dr. Muhammad Akram Ansari,Comparing BMI and Hand Grip strength of Tsinghua University Beijing and University of Sindh,International Organization of Scientific Research Community of Researcher Journals,1(4),36-44,1.03,
NCEAC,"Surhio, Muhammad Ali; Talpur, Farah N.; Nizamani, Shafi M.; Amin, Farah; Bong, Chui Wei; Lee, Choon Weng; Ashraf, M. A.; Shah, Muhammad Raza",Complete degradation of dimethyl phthalate by biochemical cooperation of the Bacillus thuringiensis strain isolated from cotton field soil,RSC ADV,4,10.1039/c4ra09465d,ISI,
NCEAC,"Shaikh, Huma; Memon, Najma; Bhanger, M. I.; Nizamani, S. M.; Denizli, Adil",Core-shell molecularly imprinted polymer-based solid-phase microextraction fiber for ultra trace analysis of endosulfan I and II in real aqueous matrix through gas chromatography-micro electron capture detector,J CHROMATOGR A,1337,10.1016/j.chroma.2014.02.035,ISI,
NCEAC,"Huma Shaikh, Najma Memon, MI Bhanger, SM Nizamani, A Denizli,",Core-shell molecularly imprinted polymer-based solid-phase microextraction fiber for ultra trace analysis of endosulfan I and II in real aqueous matrix through GC-microECD," Journal of Chromatography A, http://dx.doi.org/10.1016/j.chroma.2014.02.035",,,4.258,http://www.elsevier.com/wps/find/journaldescription.cws_home/502688/description#description
IMCS,"Khuhro, Z. U. A., F. N. Memon, A. P. Harrison, ","CORONATION: Comparison of RibO Nucleic Acid Tertiary’s Involving Overlapping Networks, ","Sindh University Research Journal (Science Series), ISSN 1813-1743,  ","(2014) 46(3), pp~385-392. ",,X,
SU Laar Campus,Muhammad Tufail chandio,Creative writing padagogy: creating an integral instructional approach,IRJAH,42 (42),111-132,,
Commerce,"Khokhar, S.A, Bughio, F.A., & Jhantial, A.A.",Critical discourse Analysis of Zulfiqar Ali Bhutto's Address at the UN Security Council,Grassroots,"48, No. II",255-272,Y,
NCEAC," Asif A. Jamali , Amber R. Solangi, Najma Memon, Shafi M. Nizamani, ","Current scenario of pesticide practices among farmers for vegetable production: A case study in Lower Sindh, Pakistan,"," International Journal of Development and Sustainability,",3, 493-504.,,http://isdsnet.com/ijds
NCEAC," Asif A. Jamali , Amber R. Solangi, Najma Memon, Shafi M. Nizamani, ","Current scenario of pesticide practices among farmers for vegetable production: A case study in Lower Sindh, Pakistan,"," International Journal of Development and Sustainability,",3, 493-504.,,http://isdsnet.com/ijds
Physics,"Boumaraf, R.; Sengouga, N.; Mari, R. H.; Meftah, Af.; Aziz, M.; Jameel, Dler; Al Saqri, Noor; Taylor, D.; Henini, M.",Deep traps and temperature effects on the capacitance of p-type Si-doped GaAs Schottky diodes on (211) and (311) oriented GaAs substrates,SUPERLATTICE MICROST,65,10.1016/j.spmi.2013.11.019,ISI,
NCEAC,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Sumsun Naher, ","Dermot Brabazon, Relationship between toxic metals exposure via cigarette smoking and rheumatoid arthritis."," Clinical Laboratory Journal. 9+10, ",,,1.084,https://www.clin-lab-publications.com/
,"Memon, Imran; Mohammed, Mohammed Ramadan; Akhtar, Rizwan; Memon, Hina; Memon, Muhammad Hammad; Shaikh, Riaz Ahmed",Design and Implementation to Authentication over a GSM System Using Certificate-Less Public Key Cryptography (CL-PKC),WIRELESS PERS COMMUN,79,10.1007/s11277-014-1879-8,ISI,
,"Bano, Shaista; Vankemmelbeke, Mireille; Penfold, Christopher N.; James, Richard",Detection of induced synthesis of colicin E9 using ColE9p::gfpmut2 based reporter system,WORLD J MICROB BIOT,30,10.1007/s11274-014-1635-y,ISI,
IARSCS,"Mahar, Muhammad Tariq; Khuhawar, Muhammad Yar; Baloch, Mushtaq Ahamad; Jahangir, Taj Muhammad; Majidano, Subhan Ali",Determination of Amino Acids in Industrial Effluents Contaminated Soil,J CHEM SOC PAKISTAN,36,,ISI,
NCEAC,"Shar, Z. H.; Sumbal, G. A.; Sherazi, S. T. H.; Bhanger, M. I.; Nizamani, S. M.",Determination of Deoxynivalenol in Poultry Feed by Three Gas Chromatographic Detection Techniques,CHROMATOGRAPHIA,77,10.1007/s10337-013-2587-3,ISI,
NCEAC,"Arain, Sadaf Sadia; Kazi, Tasneem Gul; Arain, Jamshed Bashir; Afridi, Hassan Imran; Kazi, Atif Gul; Nasreen, Syeda; Brahman, Kapil Dev",Determination of nickel in blood and serum samples of oropharyngeal cancer patients consumed smokeless tobacco products by cloud point extraction coupled with flame atomic absorption spectrometry,ENVIRON SCI POLLUT R,21,10.1007/s11356-014-3091-5,ISI,
NCEAC,"Baig, Jameel Ahmed; Elci, Latif; Khan, Muhammad Irfan; Kazi, Tasneem Gul",Determination of Total Chromium at Ultratrace Levels in Water and Soil Samples by Coprecipitation Microsample Injection System Flame Atomic Absorption Spectrometry,J AOAC INT,97,10.5740/jaoacint.12-139,ISI,
NCEAC,"Kazi, Tasneem G.; Kolachi, Nida E.; Afridi, Hassan I.; Brahman, Kapil Dev; Shah, Faheem",Determination of Total Selenium in Pharmaceutical and Herbal Supplements by Hydride Generation and Graphite Furnace Atomic Absorption Spectrometry,J AOAC INT,97,10.5740/jaoacint.12-413,ISI,
