,level,Passed,Department,Ann.Supp,Year,Gender
53,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,annual,2014,M
58,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
59,16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
60,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
61,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
62,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
63,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
64,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
65,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/ART & DESIGN.csv,supply,2014,M
67,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
68,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
69,16 Years of Edu. ,12,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
70,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
71,Master 16 Years of Edu. ,4,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
72,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
73,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
74,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
75,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,annual,2014,M
80,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
81,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
82,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
83,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
84,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
85,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
86,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
87,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
88,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOCHEMISTRY.csv,supply,2014,M
89,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
90,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
91,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
92,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
93,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
94,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
95,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
96,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
97,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,annual,2014,M
102,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
103,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
104,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
105,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
106,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
107,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
108,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
109,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BIOTECHNOLOGY.csv,supply,2014,M
111,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
112,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
113,16 Years of Edu. ,7,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
114,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
115,Master 16 Years of Edu. ,3,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
116,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
117,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
118,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
119,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,annual,2014,M
124,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
125,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
126,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
127,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
128,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
129,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
130,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
131,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BOTANY.csv,supply,2014,M
133,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
134,15 Years of Edu. ,107,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
135,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
136,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
137,Master 16 Years of Edu. ,82,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
138,Master (Hons) 16+ Years of Edu. ,16,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
139,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
140,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
141,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,annual,2014,M
