,level,Passed,Department,Ann.Supp,Year,Gender
840,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
841,Master 16 Years of Edu. ,30,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
842,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
843,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
844,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
845,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,annual,2014,M
850,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
851,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
852,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
853,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
854,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
855,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
856,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
857,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PAKISTAN STUDIES CENTRE.csv,supply,2014,M
859,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
860,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
861,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
862,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
863,Master 16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
864,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
865,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
866,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
867,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,annual,2014,M
872,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
873,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
874,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
875,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
876,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
877,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
878,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
879,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PERSIAN.csv,supply,2014,M
881,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
882,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
883,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
884,17 Years of Edu. ,63,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
885,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
886,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
887,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
888,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
889,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,annual,2014,M
894,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
895,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
896,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
897,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
898,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
899,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
900,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
901,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHARMACY.csv,supply,2014,M
903,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
904,15 Years of Edu. ,2,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
905,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
906,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
907,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
908,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
909,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
910,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
911,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,annual,2014,M
916,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
917,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
918,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
919,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
920,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
921,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
922,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
923,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHILOSOPHY.csv,supply,2014,M
925,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
926,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
927,16 Years of Edu. ,31,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
928,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
929,Master 16 Years of Edu. ,2,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
930,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
931,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
932,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
933,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,annual,2014,M
938,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
939,16 Years of Edu. ,3,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
940,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
941,Master 16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
942,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
943,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
944,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
945,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSICS.csv,supply,2014,M
947,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
948,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
949,16 Years of Edu. ,10,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
950,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
951,Master 16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
952,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
953,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
954,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
955,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,annual,2014,M
960,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
961,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
962,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
963,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
964,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
965,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
966,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
967,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PHYSIOLOGY.csv,supply,2014,M
969,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
970,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
971,16 Years of Edu. ,11,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
972,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
973,Master 16 Years of Edu. ,3,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
974,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
975,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
976,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
977,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,annual,2014,M
982,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
983,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
984,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
985,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
986,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
987,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
988,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
989,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/POLITICAL SCIENCE.csv,supply,2014,M
991,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
992,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
993,16 Years of Edu. ,5,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
994,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
995,Master 16 Years of Edu. ,3,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
996,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
997,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
998,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
999,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,annual,2014,M
1004,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1005,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1006,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1007,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1008,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1009,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1010,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1011,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PSYCHOLOGY.csv,supply,2014,M
1013,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1014,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1015,16 Years of Edu. ,54,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1016,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1017,Master 16 Years of Edu. ,35,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1018,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1019,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1020,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1021,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,annual,2014,M
1026,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1027,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1028,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1029,Master 16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1030,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1031,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1032,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1033,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/PUBLIC ADMINISTRATION.csv,supply,2014,M
1035,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1036,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1037,16 Years of Edu. ,21,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1038,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1039,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1040,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1041,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1042,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1043,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,annual,2014,M
1048,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1049,16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1050,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1051,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1052,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1053,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1054,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1055,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDH DEVELOPMENT STUDIES CENTRE.csv,supply,2014,M
1057,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1058,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1059,16 Years of Edu. ,13,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1060,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1061,Master 16 Years of Edu. ,6,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1062,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1063,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1064,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1065,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,annual,2014,M
1070,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1071,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1072,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1073,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1074,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1075,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1076,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1077,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SINDHI.csv,supply,2014,M
1079,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1080,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1081,16 Years of Edu. ,21,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1082,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1083,Master 16 Years of Edu. ,2,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1084,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1085,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1086,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1087,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,annual,2014,M
1092,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1093,16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1094,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1095,Master 16 Years of Edu. ,1,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1096,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1097,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1098,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1099,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIAL WORK.csv,supply,2014,M
1101,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1102,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1103,16 Years of Edu. ,53,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1104,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1105,Master 16 Years of Edu. ,14,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1106,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1107,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1108,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1109,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,annual,2014,M
1114,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1115,16 Years of Edu. ,6,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1116,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1117,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1118,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1119,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1120,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1121,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOCIOLOGY.csv,supply,2014,M
1123,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOFTWARE ENGINEERING.csv,annual,2014,M
1124,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/SOFTWARE ENGINEERING.csv,annual,2014,M
1125,16 Years of Edu. ,58,MAIN-CAMPUS-DEPARTMENT-WISE/SOFTWARE ENGINEERING.csv,annual,2014,M
