S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
2,"Serdar Sar?, Asl?han Arslan Kartal, Aydan Elçi, Abdullah Akdo?an, Aysen Höl, Ali N. Siyal, Latif Elçi,  ","Solid-phase chelate extractive preconcentration of heavy metal ions prior to their ultratrace determination by microsample injection system coupled flame atomic absorption spectrometry,",Acta Chimica Slovenica,Acta Chimica Slovenica,0.81,http://acta.chem-soc.si,2013,60(4),901-907,
370,"Khan, S., Soylak, M., Kazi, T.G",A simple ligandless microextraction method based on ionic liquid for the determination of trace cadmium in water and biological samples,Toxicological and Environmental Chemistry,Toxicological and Environmental Chemistry,0.723,NA,2013,"95,  7, ",1069–1079,
207,"Ali N. Siyal, Saima Q. Memon, Sajida Parveen, Mazhar I. Khaskheli and M.Y. Khuhawar,  ","Recycling of Expanded Polystyrene Waste: Synthesis of Novel Functional Polystyrene-Hydrazone Surface for Phenol Removal,",journal of Chemistry, Journal of Chemistry,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,, 1-8.    ,
208,"Arfana Mallah,  Amber R. Solangi,  Najma Memon,  Rabia A. Memon,  Muhammad Y. Khuhawar","Reversed-Phase Liquid Chromatographic Separation and Determination of Ni(II), Cu(II), Pd(II), and Ag(I) Using 2-Pyrrolecarboxaldehyde-4-phenylsemicarbazone as a Complexing Reagent",journal of Chemistry, Journal of Chemistry,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,http://dx.doi.org/10.1155/2013/184356,http://dx.doi.org/10.1155/2013/184356,
209,"Arfana Mallah,  Amber R. Solangi,  Najma Memon,  Rabia A. Memon,  Muhammad Y. Khuhawar","Reversed-Phase Liquid Chromatographic Separation and Determination of Ni(II), Cu(II), Pd(II), and Ag(I) Using 2-Pyrrolecarboxaldehyde-4-phenylsemicarbazone as a Complexing Reagent.",journal of Chemistry,J Chemistry   http://dx.doi.org/10.1155/2013/184356,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,http://dx.doi.org/10.1155/2013/184356,http://dx.doi.org/10.1155/2013/184356,
210,"Arfana Mallah, Amber R. Solangi, Najma Memon, Rabia A. Memon, Muhammad. Y. Khuhawar,","Reverse Phase Liquid Chromatographic Separation and Determination of Ni (II), Cu (II), Pd (II) and Ag (I) Using 2-Pyrrolcarboxylaldehyde-4-Phenyl Semicarbazone as Complexing Reagent",journal of Chemistry,J. Chem,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,http://dx.doi.org/10.1155/2013/184356,http://dx.doi.org/10.1155/2013/184356,
211,"Mohammad W. Ashraf, Syed Iqleem H. Taqvi, Amber R. Solangi and Umair A. Qureshi.","Synthesis, Characterization and Antibacterial and Antifungal Studies of Schiff base Polymers derived from Methylene bis Cinnamaldehyde ",journal of Chemistry,J. Chem Article ID. DOI 10.1155/2013/873959.,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,2013,,
212,"Mohammad W. Ashraf, Syed Iqleem H. Taqvi, Amber R. Solangi and Umair A. Qureshi", Distribution and Risk Assessment of Polycyclic Aromatic Hydrocarbons in Vegetables Grown in Pakista,journal of Chemistry,J. Chem DOI 10.1155/2013/873959,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,vol. 2013,ID 873959,
213,"MT Mahar, MY Khuhawar, TM Jahangir, MA Baloch ",Health Risk Assessment of Heavy Metals in Groundwater: The Effect of Evaporation Ponds of Distillery Spent Wash ,journal of Chemistry,"J. Chem, 2013 - davidpublishing.com",0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,,,
214,"Ali N. Siyal, Saima Q. Memon, Aydan Elçi, Umit Divrikli, Aysen Hol, Aslihan, M.Y Khuhawar and Latif E",Development of 2-Acetylpyridine-4-phenyl-3-thiosemicarbazone functionalized polymer resin for the preconcentration of metal ions prior to their ultra-trace determinations by MIS-FAAS  Turkish,Journal of Chemistry,Journal of Chemistry  ,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,)(2014), 38 (4, 553-567 2. ,
202,"TM Jahangir, MY Khuhawar, SM Laghari, MA Mahar and MS Baluch",Water Quality Assessment of Haleji lake  (Sindh Pakistan) AA Ramsar Recognized Site,Journal of Chemical Society Pakistan, J. Chem Soc. Pakistan ,0.612,NA,2013,35(3),1004-1016,W
203,"SYED TUFAIL HUSSAIN SHERAZI*, ZAHID HUSSAIN SHAR, MUHAMMAD IQBAL BHANGER, GUL AMER SUMBAL, SHAFI MUHAMMAD NIZAMANI,  ",Economical Appraisal of Total Aflatoxin Level in the Poultry Feeds by Fourier Transform Infrared Spectroscopy,Journal of Chemical Society Pakistan," Journal of Pakistan Chemical Society, (Accepted)",0.612,NA,accepted,,,W
204,"Rabel Soomro, Najma Memon, Muhammad Iqbal Bhanger, Muhammad Kashif Samoon.",Microemulsion based organogel -silica composite as feasible matrix for immobilization of horseradish peroxidase: Application to oxidative removal of phenol from aqueous system,Journal of Chemical Society Pakistan,J Chem Soc of Pak,0.612,,2013,35(3),938-946,W
205,"Rabel Soomro,  Najma Memon,  Muhammad lqbal Bhanger and Muhammad  Kashif Samoon",Microemulsion Based Organogel-silica  Composite as Feasible Matrix for lmmobilizatin of Horseradish  Peroxidase.  Application  to Oxidative  Removal  of Phenol from Aqueous System,Journal of Chemical Society Pakistan,J.Chem. Soc. Pak.,0.612,NA,2013,"vol 35, No.3",,W
206,"Moina Akhtar Mughal*, 2 Akhtar Mughal, 1 Ghulam. Zuhra Memon 3 Mohammad Yar Khuhawarand 1 Nusrat Naeem Memon",Synthesis and Characterization of Carboxymethyl Chitosan and its Effect on Turbidity Removal of River Water,Journal of Chemical Society Pakistan,J.Chem.Soc.Pak.,0.612,NA,2013,"vol 35, No.6",,W
270,"Zafar Hussain Ibupoto, Kimleang Khun and Magnus Willander   ",Selective Lead Ion Sensor Based on the CuO Nanoshuttles ,Sensor Letters,Sensor Letters,0.558,http://www.aspbs.com/sensorlett.html,2013,11(11),2049-2054,
197,"Saddozai, SWA Baloch WM Achakzai and N Memon",Population dynamics and ecology of freshwater Gastropods in Manchar Lake Sindh Pakistan,Journal of Animal and Plant Sciences, J. Ani. Plant. Sci,0.549,NA,2013,23(4),1089-1093,
60,"Muhammad Ali Ghoto',  Abdulluh Dayo,  Naeem Tariq  Narejo Mohsin Ali ' Muhammad  Akram. Imran Surehyani,  Abbas Ali","IMPACT OF IMPROPER  PATIENT COUNSELLING FACTOR  IN DRIJG MISUSE,  ABUSE:A.  CASE STUDY  OF HYDERABAD CITY, PAKISTAN ",BOTHALIA,BOTHALIA JOURNAL 2013,0.412,http://www.sanbi.org/,2013,vol 43 No. 10,,
159,"Moina Akhtar Mughal 1 , Akhtar  H.  Mughal 2 , Zeenat M. Ali 3 , Mohammad Yar Khuhawar 4 , Hussain Saleem 5*","Antimicrobial, Thermoanalytical and Viscometric Studies ofMetal Based Schiff Base Polymer",International Journal of Advancements in Research & Technology ,International Journal of Advancements in  Research & Technology,0.4,http://www.ijoart.org/,2013,"vol 2, issue8",,
160,"Altaf H. Nizamani 1 ,  Muhammad A. Rind 1 ,  Nek Muhammad Shaikh 1 , Akhtar H. Moghal 1 ,  Hussain Saleem ",Versatile Ultra High Vacuum System for ION Trap Experiments: Design and Implementation ,International Journal of Advancements in Research & Technology ,International Journal of Advancements in Research & Technology,0.4,http://www.ijoart.org/,2013,"Vo l ume 2 , Issue 5",502,
161,"Zeenat M Ali, Moina Akhtar Mughal, A Jabbar Laghari, AK Ansari, Hussain Saleem",Polymeric Cellulose Derivative: Carboxymethyl-Cellulose as useful Organic Flocculant against Industrial Waste Waters,International Journal of Advancements in Research & Technology ,International Journal of Advancements in Research & Technology ,0.4,http://www.ijoart.org/,2013,"vol 2, issue 8",,
47,"Ambreen Shah and Asif A. Shah,",Viscometric Study of Bis(cinnamaldehyde) and their Schiff Base Polymers in DMF and THF Solution at 30 ºC ,Asian Journal of Chemistry, Asian Journal of Chemistry  ,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,"25, No. 13,",7513-7516 ,
48,"KU Abbasi, MY Khuhawar*, KP Mahar, Arfana Mallah and A. Nawaz Siyal","Gas Chromatographic Determination of a-Keto Acids in Pharmaceutical Preparation Using 1, 2-Propylenediamine as Derivatizing Reagent KU Abbasi, MY Khuhawar, KP Mahar…",Asian Journal of Chemistry,Asian J Chem asianjournalofchemistry.co.in,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,,,
49,"M.A. MUGHAL  A. MUGHAL G. ZUHRA MEMOn,  M.Y. KHUHAWAR and SUMERA QURESHI","Synthesis, Characterization, Viscosity and Thermo Analytical Studies ofSchiff Base Polymers Derived from 6,6-Methylene bis(1-napthaldehyde)",Asian Journal of Chemistry,Asian Journal of Chemistry,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,25 No.17,9931-9935,
50,"M.A. MUGHAL, AKHTAR MUGHAL, G. ZUHRA MEMON, and MOHAMMAD Y. KHUHAWAR","Synthesis and Characterization of Antimicrobial Metal Based PolymericLigand Derived from 4,4&#039;-Methylene-bis(furfuraldehyde)",Asian Journal of Chemistry,Asian Journal of Chemistry,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,25 No. 11,6327-6333,
51,"KF ALMANI, MGH LAGHARI, AH MEMON, FMA RIND, UR MUGHAL, MI MAHESHWARI, MY KHUHAWAR",pectrophotometric  Determination  of Isoniazid from Pharmaceutical Preparations Using Natural  Aldehyde,Asian Journal of Chemistry,Asian Journal of Chemistry ,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,25 No. 5,2522-2526,
52,"Ambreen Shah, & Asif A Shah","Synthesis of Some New Schiff bases of 2-hydroxy-benzaldehyde and 2-Hydroxynaphthaldehyde with 1, 2-phenylenediamine and 4-aminophenyl ether ",Asian Journal of Chemistry,Asian Journal of Chemistry  ,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,"25, No. 8",,
53,"K. Abbasi,. M. Y.  Khuhawar,  K.P. Mahar, A. Mallah, A. Naawaz. Siyal","Gas chromatographic determination of ?-Keto acids in Pharmaceutical Preparation using 1, 2-Propylenediamine as Derivatizing Reagent,",Asian Journal of Chemistry,Asian Journal of Chemistry  ,0.355,http://www.asianjournalofchemistry.co.in/Home.aspx,2013,"25, No. 3",1,
227,"Kimleang Khun, Zafar Hussain Ibupoto, Mohammad AlSalhi, Muhammad Atif, Anees Ansari and Magnus Willander   ",Fabrication of Well-Aligned ZnO Nanorods Using a Composite Seed Layer of ZnO Nanoparticles and Chitosan,Journal Of Polymer Materials,Polymer  Materials,0.253,http://www.degruyter.com/view/j/polyeng,2013,6(10),4361-4374,
10,Dr. Syed Iftikhar Hussain Jafri,Making early childhood learning Pleasant: Coping with the Exam Anxiety,American International Journal of Social Science ,American International Journal of Social Science ,,http://www.aijssnet.com/,2013,vol No. 6,108-114,
93,Dr. Bashir Ahmed Rind,Khidmat e Khalq ain Islam….. ,Dawat Ahl e hadith,"Dawat Ahl e hadith,",,,2013,"vol 13, No. 04","p36-39, ",
360,"Muhammad Taha 1, 2 , Nor Hadiani Ismail 1, 2 , Muhammad Ali 3 , Khalid M. Khan 4 , Waqas Jamil 5 , Syed Muhammad Kashif 5 and Mohammad Asraf 6. ...",Synthesis of indole-2-hydrazones in search of potential leishmanicidal agents,Springer Medicinal Chemistry ,Springer Medicinal Chemistry ,,,2014,,,
