S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
145,"RAJpUT SA., GHOTO  MA, DAYO  A, GHAFFAR  ,  ARAIN M, QURI1SHI A",DRUG INDUCED  MYALGIA  IN POST MYOCARDIAL ARCTION  PATIENTS ON ATORVASTATATIN THERAPY  CARE HOSPITAL OF HYDERABAD PAKISTAN 2277-4998 ,IJBPAS,IJBPAS 2013 ,NA,http://www.sjifactor.inno-space.net/passport.php?id=2517,2013,2(11),2065-2071,
153,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K. ",Gas chromatographic coupled mass spectroscopic study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan.,International Food Research Journal ,Int Food Res J Accepted,NA,http://www.ifrj.upm.edu.my/,-2014,,,
154," Aftab A. K., Sherazi, S.T.H, Rubina, S., Razia, S., Ambrat., Arfa, Y. ",Consequence of Fatty Acids Profile Including trans Fat in Chocolate and Pastry Samples,International Food Research Journal ,Int Food Rese J 20,NA,http://www.ifrj.upm.edu.my/,2013,133)  , 601-605,
155,"Kandhro, Aftab A, Mahesar, S. A, Khaskheli, A. R, Sherazi, S. T. H, Sofia, Q, Zakia, K.  ",Gas chromatographic coupled mass spectroscopic Study of fatty acids composition in Nigella sativa L. (KALONJI) oil commercially available in Pakistan,International Food Research Journal ,International Food Research Journal ,NA,http://www.ifrj.upm.edu.my/,accepted,38,,
156,"Aftab A. K., Sherazi, S.T.H, Rubina, S., Razia, S., Ambrat., Arfa, Y.  ","Consequence of Fatty Acids Profile Including trans Fat in Chocolate and Pastry Samples, ",International Food Research Journal ,"International Food Research Journal, (Accepted).îîîView    72. ",NA,http://www.ifrj.upm.edu.my/,accepted,,,
162,"Shaista Khan, Allah Bux Ghanghro, A N.Memon, Ibtessam Tahir, Afsheen Mushtaque Shah , Mumtaz Ali Sahito, Farah N. Talpur, S. Qureshi","Quantitative Analysis of Wheat Proteins in Different Varieties Grown In Sindh, Pakistan",International Journal of Agriculture and Crop Sciences,International Journal of Agriculture and Crop Sciences,NA,NA,2013,5-16,,
163," Shaista Khan.  AB Ghanehro,  AN Memon. lbtessam Tahir, AM Shah,  M.A Sahito, Farah  talpur and Summera Qu res hi.","Quantitative Analysis  of Wheat Proteins  in Different Vorities Grown in Sindh,  Pokiston.",International journal of Agriculture and Crop Sciences,nternational  journal  of Agriculture  and Crop  Sciences,NA,NA,(2013).," 5-L6,", L836  -  1839 ,
164," Asif A. Jamali , Amber R. Solangi, Najma Memon, Shafi M. Nizamani, ","Current scenario of pesticide practices among farmers for vegetable production: A case study in Lower Sindh, Pakistan,",International Journal of Development and Sustainability," International Journal of Development and Sustainability,",NA,http://isdsnet.com/ijds,-2014,3, 493-504.,
173,Faculty of Arts University of Sindh Jamshoro.   ,"An in depth inside and child abuse and its impact on personality of victims,",IRJAH,IRJAH International Research Journal,NA,NA,2012,"volume No: 40,",,Z
174,,Demerits of exchange marriages in Sindh,IRJAH,Published in international research journal of Arts and humanities (IRJAH),NA,NA,2013,VOL: 41 ,,Z
175,,Hrm in selected public and private Hospitals of Karachi and Hyderabad,IRJAH,Published in international research journal of Arts and humanities (IRJAH),NA,NA,2013,VOL: 41,,Z
189,"Arfana Mallah, Saima Memon, Amber R. Solangi, Abdullah Khan,  Muhammad. Y. Khuhawar, M. I. Bhanger,”  ","Separation and Determination of Chromium (III), Chromium (VI), Gold (III) and Arsenic (V) by Capillary Zone Electrophoresis using 2-Acetylpyridine-4-phenylthiosemicarbazone as Complexing Reagent",JCSP, JCSP,NA,NA,2013,2013 (in press),,
190,Ms. Ishrat Afshan  Abbasi (Assistant  Professor),Heavy Metal Analysis in Groundwater in the Vicinity of Distillery Spent Wash Evaporation Ponds,"Joumal of Far East and South East Asia, University of  Sindh, Jamshoro","Joumal of Far East and South East Asia, University of  Sindh, Jamshoro",NA,NA,2013,31,,
217,Dr. Syed Iftikhar Hussain Jafri,Education as gender equalizer: overcoming youth enemployment in Pakistan,Journal of Education and Practice,Journal of Education and Practice,NA,NA,2013,vol 4 no. 27,28-34,
218,Dr. Syed Iftikhar Hussain Jafri,English background as the predictors for students' speaking skills in Pakistan ,Journal of Education and Practice,Journal of Education and Practice 2222-1735 ,NA,NA,2013,vol 4 No. 20,30-35,
223,Centre of Excellence for Women’s studies University of Karachi.     ,"The Self employed women, Women Entrepreneurs and Work Polished in Pakistan,",Journal of Gender Studies ,Journal of Gender Studies ,NA,NA,2014," Vol. 8, ",,
226," Laghari A.Q., Memon S., Nelofar A. and Laghari A.H.",Identification of various alkaloids in Tecomella undulata G. Don flowers. ,Journal of King Saud University (Science),J. King Saud University (Science) http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014 ( Accepted),NA,http://dx.doi.org/10.1016/j.jksus.2014.02.005 2014,2014,26 issue 4,300-304,
230, Faculty of Arts University of Karachi.  ,"Socio-Economic Condition of Children Working in Auto Work Shops of District Hyderabad, Published in ",Journal of Social Science and Humanities,Journal of Social Science and Humanities,NA,NA,2012, Volume No.51 part-II,,
231, faculty of Arts University of Karachi.     ,"Study of Child labor working in auto workshops,",Journal of Social Sciences and Humanities,Journal of Social Sciences and Humanities,NA,NA,2011,Volume No 50,,
232,"Sarfaraz Ahmed Mahesar, Aftab Ahmed Kandhro, Abdul Rauf Khaskheli, Mohammad Younis Talpur and Syed Tufail Hussain Sherazi,",SB-ATR FTIR spectroscopic monitoring of free fatty acids in Nigella sativa (Kalonji) oil,journal of spectroscopy,J Spectrosc,NA,NA,2013,,,
233," S. A. Mahesar, Aftab A. Kandhro, A. R. Khaskheli, M. Y. Talpur, S.T.H. Sherazi.  ",SB-ATR FTIR spectroscopic monitoring of free fatty acids in commercially available Nigella sativa (Kalonji) oil,journal of spectroscopy,Journal of Spectroscopy (In Press),NA,NA,in press,,,
236,"MA Lashari, AA Soomro",Subject-Verb Agreement in Sindhi and English: A Comparative Study  - Language in India,languageinindia.com,languageinindia.com,NA,NA,2013,13:6 June 2013,,
237,"MA Lashari, IB Gopang",Insights into Subject-Verb Agreement in the Syntax of Sindhi and English Languages: A Critical and Comparative Analysis,languageinindia.com,languageinindia.com,NA,NA,2013,,,
239,,Contribution  of textile industry in Pakistan  Economy,lnternational  Association  of Academics  and Researchers. Malaysia:     ,lnternational  Association  of Academics  and Researchers. Malaysia:     ,NA,NA,"June 08,2013",,,
240,"Sumera  Qureshi, Sikandar  Ali Memon,  Allah Bux Ghanehro,  Moina  Akhtar  Mughal & Shaista Ali Khan",Electrophoretic  Analysis of Serum  Proteins  in workers Exposed  to Organic  Acid  Anhydrides (OAAs),lnternational Journal of  Multidisplinary  Sciences & Engineering.www.iimse.ore    ,lnternational Journal of  Multidisplinary  Sciences & Engineering.www.iimse.ore    ,NA,NA,2013,"vol 4, No. 5",,
242,Siddiqui IA' S.  Soomro and M. Hassan Agheem,"Comparative  Chemical and Minerat charact-erization  of Paleocene  coat of sonda coatfield,  sindh-Pakistan",Mehran  tJniversity Research Journalof Engineering & Technotogy,Mehran  tJniversity Research Journalof Engineering & Technotogy,NA,NA,2013,vol 32 No. 4,,Y
243,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Preconcentration of toxic elements in artificial saliva extract of different smokeless tobacco products by dual-cloud point extraction,Microchemical Journal,Microchemical Journal,NA,NA,2014,"112, January 2014, ",42-49,
248,Dr. Ahmed Ali Brohi,Gender Differential  Treatment  ln social  Development: A sociological study in Rural Sindh,New Horizon,New Horizen: Research Journal Greenwich  university:Karachi,NA,NA,2013,7 No. 2,,
249,", Green Wich University Karachi.     ",mpact of flood an psychological healed of skilled woman in Pakistan: A case study of Dadu District in Sindh.,New Horizon,"Published in New Norizans Research Journal, Faculty of Social Sciences",NA,NA,2013,Vol: 7,,
250,Dr. Bashir Ahmed Rind,Tasawuf Quran o Sunnat ki Roshni me ,Oriental College Magazine,Oriental College Magazine,NA,NA,2013," vol 88, no. 4,",,HEC approved in ‘Z’     
251,"Laghari, A.","An appraisal of Uranium source  potential of Granite, associated felsic rocks.Kaolin and Calcretes  of Nagar Parkar  area, Tharparkar,",Pakistan Journal  of Himalayan Earth sciences,pakistan.Journal  of Himalayan Earth sciences,NA,NA,2013,46(1),31-39,Y
252,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica,Pakistan Journal of Analytical and Environmental Chemistry,Pak J Anal Environ Chem,NA,NA,accepted,"63),",,
253,"N. H. Kalwar, Sirajuddin,  T. H. Sherazi, Z. A. Tagar, A. R. Khaskheli, S. S. Hassan,Y. Junejo",Reduction of hexavalent chromium using L-Cysteine capped nickel nanocatalysts,Pakistan Journal of Analytical and Environmental Chemistry,Pak. J. Anal. Environ. Chem,NA,NA,2013,14,54-60,Z
254,"Khalida Parveen Mahar, Kulsoom Ubedullah  Abbasi2, Muhammad Yar Khuhawar2, Gulam Murtaza Mastoi2, Abdul  Hameed Channer2, Shamroz Bano Sahito and Abdul Jabbar Kandhro","HPLC Determination of ?-keto Acids in Human Serum and Urine After Derivatization with 4-nitro-1,2-Phenylenediamine, ",Pakistan Journal of Analytical and Environmental Chemistry,Pak. J. Anal. Environ. Chem ,NA,NA,2013,14,58-64,Z
255,"S. Hara, Y. Takemori, T. Wata, M. Yamaguchi, M. Nakamura and Y. Ohkura Anal","HPLC Determination of ?-keto Acids from Human Serum Using 2, 3-Diamino-2, 3-dimethylbutane as Derivatizing Reagent",Pakistan Journal of Analytical and Environmental Chemistry,"Pak. J. Anal. Environ. Chem. …, 2013 ",NA,NA,2013,,,Z
256,"K.P. Mahar, M.Y. Khuhawar, K.U. Abbasi, G.Q. Shar, R. Azmat, J.A. Baig, ","HPLC Determination of ?-keto Acids from Human Serum Using 2,3-Diamino-2,3-dimethylbutane as Derivatizing Reagent",Pakistan Journal of Analytical and Environmental Chemistry,Pakistan Journal of Analytical and Environmental Chemistry,NA,NA,2013,14(2),8-15,Z
259, Centre of Excellence for women studies University of Karachi,Divorce and its impacts on families,Pakistan Journal of Gender Studies,published in “Pakistan journal of Gender Studies”,NA,NA,2012,"Volume No. 6,",,
260," Fatima Ismail, Farah N. Talpur and A.N. Memon.",Determination of Water Soluble Vitamin in Fruits and Vegetables Marketed in Sindh Pakistan.,Pakistan Journal of Nutrition,Pakistan Journal of Nutrition. ,NA,NA,2013,"12 (2),"," 197-199, ",Y
263,GHAZAL KAZIM SYED,"How Appropriate Is It to Teach Citizenship through Main Curriculum Subjects? , Institute of English Language and Literature, University of Sindh, Jamshoro, ",Pakistan Pages,Pakistan pages 136-142 http://dx.doi.org/10.2304/csee.2013.12.2.136,NA,NA,2013,vol 12 No. 2,,
265,Dr. Bashir Ahmed Rind,Al-hania W Rishwa,PJIR,PJIR,NA,NA,2014,V 11 No. 3,,
268,Dr. Ahmed Ali Brohi,Problems in Sociological and Social Sciences Research:  A case study Developing Countries with Special Focus  on Pakistan. 1810-035  Asia Pacific:,"Research Journal of far East & South  East Asia: Area Study Center: University  of Sindh,Jamshor","A Research  Journal of far East & South  East Asia: Area Study Center: University  of Sindh,Jamshor",NA,NA,2013,31,,
275,"Ambreen Shah, M. Y. Khuhawar, H. Khan, A. A. Shah","One Pot Synthesis and Characterization of Derived Polythioamide with 1, 2-Phenylenediamine :153-1158",Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,  45 (1),1158,X
276,"B.K.SOLANGI++, R. SULTANA*, V. SUTHAR**, M. S.WAGAN* ","Field Evaluation of Bio-Pesticides Against Jassid, Amrasca Biguttula Biguttula (Ishida) in Okra Crop",Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,Vol. 45(2),311-316,X
277,"F. N.MEMON++, Z. U. A. KHUHRO, I. A. KOREJO, M. U. R. MAREE ",RapidComputefor Research Community ,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(1),137-140,X
278,"F.IQBAL++,Y. Z. JAFRI,G. H. TALPUR* ",Diagnostics for GARCH-Type ModelsunderSymmetric and Asymmetric Errors,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(3),529-533,X
279,"H. KHAN++,F.N.TALPUR*,A.SHAH, A.BALOUCH* ",Ultra Trace Spectrophotometric Determination of Chromium In Presence of Cationic Micellar Solution ,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(1),141-148,X
280,"H. MEHDI++, S.SOOMRO*, W. R.KHAN,A. G. MEMON**, A.HAFEEZ* ",Error-RatePerformanceAnalysis of Wireless SensorNetworksover Fading Channels  ,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(1),177-182,X
281,"HABIBULLAH U. ABBASI,**M. R. MAREE, **N. A. KANASRO, ***ABDUL SALAM SOOMRO,****SAFEEULLAH SOOMRO ","GIS-Based Identification of Vulnerability of Human being and physical infrastructure in Krabi, Thailand",Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(3),640-646,X
282,"I. A. BROHI, S. H. SOLANGI, S. A. ABBASI, S.A. BABLANI, Q.D. KHOKHAR, A. G.SAHITO,A.U. BROHI ","Joint analysis and Economic Significance of Lakhra formation in the Vicinity of Khanu Brohi, Jamshoro, Sindh",Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),381-386,X
283,"I. A. BUGHIO++, Q. M.M. ABRO, M. N. TUNIO*, M.Y. HAB** ",Virtual Learning Environment for MUISTD and its Analysis,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(4),755-758,X
284,"I.A. KOREJO++, Z.U.A. KHUHRO, F.A.JOKHIO, N. CHANNA*, H.A. NIZAMANi ",An Adaptive Crossover Operator for Genetic Algorithms to Solve the Optimization Problems,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),333-340,X
285,"I.A.HALEPOTO++, W.KUMAR, T.D.MEMON, I.A.ISMAILI*  ",Quantifying the effect of Look up TableSize andCoefficients Complexity for Non-Linearity Compensation in PowerAmplifiers ,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),447-452,X
286,"I.A.KOREJO, Z. U.A. KHUHRO++, F. A. JOKHIO*, F. N.MEMON, QURAT-UL-AIN NIZAMANI ",Genetic Algorithm Using anAdaptive Mutation Operator for Numerical Optimization Functions,Sindh University Research Journal (Sci. Ser.),  Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(1),41-48,X
287,"G. M. WADHAR,N.T. NAREJO++*, G. M. MAHAR,B. A.DARS* ","age and growth study of Fresh water shark, Wallago attu (Bloch and Schneider) from Manchar Lake, District Jamshoro, Sindh, Pakistan ",Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),411-416,X
288,"M. NAEEM++, A. SALAM,N. T. NAREJO*,A. A.TAHIR ","Body composition of Edible portion of wild Bighead carp Aristichthys nobilisin relation to Body size and Condition factor from Indus River,Pakistan",Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),353-356,X
289,"M. S. CHANDIO++,M. U. JHATIALS. F. SHAH*  ",Finite Element Simulation of Newtonian Lid-Driven Cavity Flow,Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),253-262,X
290,"M.DAWOOD++, S.AHMED**, H.KEERIO*, M.SALEH**, A.KEERIO* ",Low Cost Local Positioning System (LPS) –Design andDevelopment for vehicular tracking,Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),439-446,X
291,"N.M. SHAIKH++, A.H. NIZAMANI, A.H MOGHAL,M. A.RIND ",Spectroscopic Studies of the Copper Plasma Produced by the Laser Ablation ,Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),399-404,X
292,"N.M.SOOMRO,J.A.KHOKHAR++,M.H.SOOMRO ",Biodiversity and Biogeography of Praying Mantids in Sindh,Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),297-300,X
293,"W.M.ACHAKZAI*,S.SADDOZAI**,W.A.BALOCH++, N.MEMON*** ","Length-Weight Relationshipsand Condition Factor of Oreochromis mossambicus(Peters,1852) from Manchar Lake Distt. Jamshoro, Sindh, Pakistan ",Sindh University Research Journal (Sci. Ser.), Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),201-206,X
294,"M. KHAN++R. SULTANA++, B. A. BUGHIO*, A. ALI** B.K.SOLANGI,S. KUMAR ","Studies on the Population Dynamics of Sugarcane Stem Borer, Chilo infuscatellus (Lepidoptera: Pyralidae) and its Parasitoid Cotesia flavipes(Hymenoptera: Braconidae) in Sugarcane in Hyderabad Region of Sindh  Sindh",Sindh University Research Journal (Sci. Ser.), Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),542-545,X
295,,"Unraveling argument on abortion an It Etiology,",Sindh University Research Journal (Sci. Ser.),published in “SURJ Sindh University research Journal,NA,www.surj.usindh.edu.pk/,2012,Volume No. 44,,X
296,"Jatoi, SWA Baloch, AN Soomro and GS Gachal ","Studies on the length-weight relationships of a catfish sperata seenghala sykes (Bagridae: Silunriformes) in Inuds Reiver, Sindh Pakistan  ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res Jour (Sci Ser) ,NA,www.surj.usindh.edu.pk/,2013,45(4),661-664,X
297,"A.A. MEMON++,M.U. R. MAREE*,N.CHANNA** ",Effect of Equal Current Increment for Computation of Flux Linkage Characteristicson Performance of S R Motor ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.,NA,www.surj.usindh.edu.pk/,2013, 45 (1),119-122,X
298,"A.AFTAB++, A.R.MEMON, S.F.A. SHAH, H.R. MEMON*M. U. DAHOT** ",Determination of Hydrocarbons and Isolation of Inherent Bacteria from Crude Oil-Contaminated Soil for Ex-Situ Bioremediation ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.,NA,www.surj.usindh.edu.pk/,2013, 45 (3),476-481(,X
299,"A.N.SOOMRO++, H.SUZUKI*, M.NAGAE*, S.MALIK**,W.A.BALOCH ","Habitat use by two Atyid Shrimps Caridina Sakishimensisand Caridina typusin Urabaru stream, Kikai-jima Island ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.,NA,www.surj.usindh.edu.pk/,2013, 45 (1),49 –52(,X
300,"A.S.SOOMRO++,H.U. ABBASI*, K.T. PATHAN**, M. U. R. MAREEN**.A.KANASRO*** ",Identification of Tsunami Hazard Zones in Krabi Coastlines using GIS Techniques   ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.,NA,www.surj.usindh.edu.pk/,2013, 45 (4),759-764,X
301,"A.W.SOLANGI++A.G.LANJAR,N.BALOCH**M.ULN.RAIS*, S.A.KHUHRO ","Population, Host Preference and Feeding Potential ofChrysoperla Carnea(Stephens) on Different Insect Hosts in Cotton and Mustard Crops",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.,NA,www.surj.usindh.edu.pk/,2013, 45 (2),213-218,X
302," B.MAL++, N.MEMON, M.A.SHAH, N.A.SHAH ","Redescription and New Record of Small Arab Group of Genus Colitis (Lepidoptera: Pieridae) from Jamshoro, Sindh, Pakistan  ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013, Vol.45 (2), 357-364,X
303," I.T.ANSARI++, A.N.MEMON, A.B.GHANGHRO,M.A.SAHITO, N.T.NAREJO*, J.H.UMRANI** S.KHAN, A.M.SHAH ",Comparative Study of Physicochemical Properties of Mutant Rice Varieties Cultivated in Sindh  1,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013, 45 (1),17-20 ,X
304,"A. A. CHANDIO, I. A. KOREJO*, Z. U. A. KHUHRO*, F. N. MEMON++ ",CloudsBasedSmart Video Transcoding System,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45 (1),123-130,X
305,"A. G.SAHITO, S.H.SOLANGI, P.USMANI, I.A.BROHI, L.D.NAPARQ.KHOKHAR ","Sedimentologic studies of Upper sands of Lower Goru Formation based on well cuttings and wirelinelogs from wells of X Field in the subsurface of Sindh Monocline, Southern Indus Basin, Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013, Vol.45 (2) ,341-352,X
306,"A. W. SHAIKH++, Z. U. A. KHUHRO, M. U. R. MAREE, A.K.SOOMRO ",Critical Accelerated Method,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,-2013,45 (1):,113-118,X
307,"K.T. PATHAN++, N. CHANNA**,N.H. ARIJO*, S. MEMON*** ",Architecturefor Sensing Activity Context using Software Sensorsin theContext-AwareService-BasedEnvironments,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45,01-06,X
308,"M Z. RAZA, S. SOOMRO*,M.S.EHSAN**, A.G. MEMON***,M.SIDDIQUE ",Implementation of Device Control Technique Using Voice Signal ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(4),721-726,X
309,"M.S. CHANG++,G.S. GACHAL*, A.H. QADRI*, Z.KHOWAJA*, M.Y. SHEIKH* ","Populationand conservation statusof Marsh Crocodiles,Crocodilus palustrisinKarachi Zoological Garden, SamzuParkand Khar Center Karachi,Sindh-Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(3),534-541,X
310,"N. H. ARIJO++, N. CHANNA*, K.T. PATHAN, S. A. MEMON,N. RAJPER** ",Modelling and Simulating Mobile Service-Oriented Systems ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(1),75-78,X
311,"S.M.A.QADRI*,H.NAWAZ++,M. Y. KOONDHAR**, M.Y. HAB*** ",Simulation Based Modified Solution of Aes and Encryption Key Establishment,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(4),683-688,X
312,"S.N.A.ZAIDI++, I.A. BROHI*, K.RAMZAN**, N.AHMED**,F.MEHMOOD,A.U.BROHI* ","Distribution and Hydrocarbon Potential of Datta Sands in Upper Indus Basin, Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),325-332,X
313,"SANIA QURESHI, ASIF ALI SHAIKH, AND MUHAMMAD SALEEM CHANDIO ",A Newiterative Integrator for Cauchy Problems ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(3),628-633,X
314,"SEHRISH NIZAMANI, KHALIL KHOUMBATI, IMDAD ALI ISMAILI, SAADNIZAMANI ",A Conceptual Framework for ERP Evaluation in Higher Educational Institutes of Pakistan,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(3),596-607,X
315,"T.J.U.SOOMRON.M.MALIK,S. M.H.SOOMRO  ","Description of New Species OfPhilodromus(Aranae: Philodromidae) From Sindh, Pakistan",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.),NA,www.surj.usindh.edu.pk/,2013,45(2),379-380,X
316,"  N.CHANNA++, K. T.PATHAN*, I. A. KOREJO**,N.H. ARIJO* ",A Comprehensive Infrastructure of Constraint Optimizer in Dynamic Web Service Composition,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45 (2),229-232,X
317," A.AMIR, W.KUMAR++, B. S. CHOWDHRY, A. AMIR* ",Complex (RLC) Design Analysis Method of Zero Current Switching–Series Resonant Inverter High VoltageDC to DC Converter,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,Vol. 45 (2) , 453-460 (,X
318, ASGHER ALI ALIAS DAAHAR HAKRO ,"Mineralogical Investigation of the Bara Formation ofSindh,Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,(2013 , Vol.45 (3),580-588,X
319," H. Khan, F. N. Talpur, A. Shah, A. BALOUCH", Ultra Trace Spectrophotometric Determination of Chromium In Presence of Cationic Micellar Solution,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013," 45,",141-148.,X
320,"K.B.AMUR , M. S. CHANDIO*, E. AL ",A Novel Mesh adaptation Technique for the computation of Stereo DepthUsing Texture lessSimple StereoPairs,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(4),737-742,X
321,"K.B.AMUR++,S.F.SHAH*,A.A. SHEIKH** ",An Adaptive control for Tikhonov Regularization onUnstructured Grid for A Variational DenoisingProblem,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),553-558,X
322,"M.A.KHASKHELI,P WU, M S KALHORO++*, A.H.NIZAMANI*, M.ELLAHI**, M.U. KHAN, ASADULLAH, M. Z. IQBAL, D.F. KHAN, M.YASIR ",Electrical and Photonics Characteristics of HftieroThin Films Deposited at 673 KSubstrate Temperature ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),317-320,X
