Unicode,character,UTF-8,name
U+0673,?,217179,ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
U+0674,?,217180,ARABIC LETTER HIGH HAMZA
U+0675,?,217181,ARABIC LETTER HIGH HAMZA ALEF
U+0676,?,217182,ARABIC LETTER HIGH HAMZA WAW
U+0677,?,217183,ARABIC LETTER U WITH HAMZA ABOVE
U+0678,?,217184,ARABIC LETTER HIGH HAMZA YEH
U+0679,?,217185,ARABIC LETTER TTEH
U+067A,?,217186,ARABIC LETTER TTEHEH
U+067B,?,217187,ARABIC LETTER BEEH
U+067C,?,217188,ARABIC LETTER TEH WITH RING
U+067D,?,217189,ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
U+067E,?,217190,ARABIC LETTER PEH
U+067F,?,217191,ARABIC LETTER TEHEH
U+0680,?,218128,ARABIC LETTER BEHEH
U+0681,?,218129,ARABIC LETTER HAH WITH HAMZA ABOVE
U+0682,?,218130,ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE
U+0683,?,218131,ARABIC LETTER NYEH
U+0684,?,218132,ARABIC LETTER DYEH
U+0685,?,218133,ARABIC LETTER HAH WITH THREE DOTS ABOVE
U+0686,?,218134,ARABIC LETTER TCHEH
U+0687,?,218135,ARABIC LETTER TCHEHEH
U+0688,?,218136,ARABIC LETTER DDAL
U+0689,?,218137,ARABIC LETTER DAL WITH RING
U+068A,?,218138,ARABIC LETTER DAL WITH DOT BELOW
U+068B,?,218139,ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH
U+068C,?,218140,ARABIC LETTER DAHAL
U+068D,?,218141,ARABIC LETTER DDAHAL
U+068E,?,218142,ARABIC LETTER DUL
U+068F,?,218143,ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
U+0690,?,218144,ARABIC LETTER DAL WITH FOUR DOTS ABOVE
U+0691,?,218145,ARABIC LETTER RREH
U+0692,?,218146,ARABIC LETTER REH WITH SMALL V
U+0693,?,218147,ARABIC LETTER REH WITH RING
U+0694,?,218148,ARABIC LETTER REH WITH DOT BELOW
U+0695,?,218149,ARABIC LETTER REH WITH SMALL V BELOW
U+0696,?,218150,ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
U+0697,?,218151,ARABIC LETTER REH WITH TWO DOTS ABOVE
U+0698,?,218152,ARABIC LETTER JEH
U+0699,?,218153,ARABIC LETTER REH WITH FOUR DOTS ABOVE
U+069A,?,218154,ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
U+069B,?,218155,ARABIC LETTER SEEN WITH THREE DOTS BELOW
U+069C,?,218156,ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE
U+069D,?,218157,ARABIC LETTER SAD WITH TWO DOTS BELOW
U+069E,?,218158,ARABIC LETTER SAD WITH THREE DOTS ABOVE
U+069F,?,218159,ARABIC LETTER TAH WITH THREE DOTS ABOVE
U+06A0,?,218160,ARABIC LETTER AIN WITH THREE DOTS ABOVE
U+06A1,?,218161,ARABIC LETTER DOTLESS FEH
U+06A2,?,218162,ARABIC LETTER FEH WITH DOT MOVED BELOW
U+06A3,?,218163,ARABIC LETTER FEH WITH DOT BELOW
U+06A4,?,218164,ARABIC LETTER VEH
U+06A5,?,218165,ARABIC LETTER FEH WITH THREE DOTS BELOW
U+06A6,?,218166,ARABIC LETTER PEHEH
U+06A7,?,218167,ARABIC LETTER QAF WITH DOT ABOVE
U+06A8,?,218168,ARABIC LETTER QAF WITH THREE DOTS ABOVE
U+06A9,?,218169,ARABIC LETTER KEHEH
U+06AA,?,218170,ARABIC LETTER SWASH KAF
U+06AB,?,218171,ARABIC LETTER KAF WITH RING
U+06AC,?,218172,ARABIC LETTER KAF WITH DOT ABOVE
U+06AD,?,218173,ARABIC LETTER NG
U+06AE,?,218174,ARABIC LETTER KAF WITH THREE DOTS BELOW
U+06AF,?,218175,ARABIC LETTER GAF
U+06B0,?,218176,ARABIC LETTER GAF WITH RING
U+06B1,?,218177,ARABIC LETTER NGOEH
U+06B2,?,218178,ARABIC LETTER GAF WITH TWO DOTS BELOW
U+06B3,?,218179,ARABIC LETTER GUEH
U+06B4,?,218180,ARABIC LETTER GAF WITH THREE DOTS ABOVE
U+06B5,?,218181,ARABIC LETTER LAM WITH SMALL V
U+06B6,?,218182,ARABIC LETTER LAM WITH DOT ABOVE
U+06B7,?,218183,ARABIC LETTER LAM WITH THREE DOTS ABOVE
U+06B8,?,218184,ARABIC LETTER LAM WITH THREE DOTS BELOW
U+06B9,?,218185,ARABIC LETTER NOON WITH DOT BELOW
U+06BA,?,218186,ARABIC LETTER NOON GHUNNA
U+06BB,?,218187,ARABIC LETTER RNOON
U+06BC,?,218188,ARABIC LETTER NOON WITH RING
U+06BD,?,218189,ARABIC LETTER NOON WITH THREE DOTS ABOVE
U+06BE,?,218190,ARABIC LETTER HEH DOACHASHMEE
U+06BF,?,218191,ARABIC LETTER TCHEH WITH DOT ABOVE
U+06C0,?,219128,ARABIC LETTER HEH WITH YEH ABOVE
U+06C1,?,219129,ARABIC LETTER HEH GOAL
U+06C2,?,219130,ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
U+06C3,?,219131,ARABIC LETTER TEH MARBUTA GOAL
U+06C4,?,219132,ARABIC LETTER WAW WITH RING
U+06C5,?,219133,ARABIC LETTER KIRGHIZ OE
U+06C6,?,219134,ARABIC LETTER OE
U+06C7,?,219135,ARABIC LETTER U
U+06C8,?,219136,ARABIC LETTER YU
U+06C9,?,219137,ARABIC LETTER KIRGHIZ YU
U+06CA,?,219138,ARABIC LETTER WAW WITH TWO DOTS ABOVE
U+06CB,?,219139,ARABIC LETTER VE
U+06CC,?,219140,ARABIC LETTER FARSI YEH
U+06CD,?,219141,ARABIC LETTER YEH WITH TAIL
U+06CE,?,219142,ARABIC LETTER YEH WITH SMALL V
U+06CF,?,219143,ARABIC LETTER WAW WITH DOT ABOVE
U+06D0,?,219144,ARABIC LETTER E
U+06D1,?,219145,ARABIC LETTER YEH WITH THREE DOTS BELOW
U+06D2,?,219146,ARABIC LETTER YEH BARREE
U+06D3,?,219147,ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
U+06D4,?,219148,ARABIC FULL STOP
U+06D5,?,219149,ARABIC LETTER AE
U+06D6,?,219150,ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA
U+06D7,?,219151,ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA
U+06D8,?,219152,ARABIC SMALL HIGH MEEM INITIAL FORM
U+06D9,?,219153,ARABIC SMALL HIGH LAM ALEF
U+06DA,?,219154,ARABIC SMALL HIGH JEEM
U+06DB,?,219155,ARABIC SMALL HIGH THREE DOTS
U+06DC,?,219156,ARABIC SMALL HIGH SEEN
U+06DD,?,219157,ARABIC END OF AYAH
U+06DE,?,219158,ARABIC START OF RUB EL HIZB
U+06DF,?,219159,ARABIC SMALL HIGH ROUNDED ZERO
U+06E0,?,219160,ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
U+06E1,?,219161,ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
U+06E2,?,219162,ARABIC SMALL HIGH MEEM ISOLATED FORM
U+06E3,?,219163,ARABIC SMALL LOW SEEN
U+06E4,?,219164,ARABIC SMALL HIGH MADDA
U+06E5,?,219165,ARABIC SMALL WAW
U+06E6,?,219166,ARABIC SMALL YEH
U+06E7,?,219167,ARABIC SMALL HIGH YEH
U+06E8,?,219168,ARABIC SMALL HIGH NOON
U+06E9,?,219169,ARABIC PLACE OF SAJDAH
U+06EA,?,219170,ARABIC EMPTY CENTRE LOW STOP
U+06EB,?,219171,ARABIC EMPTY CENTRE HIGH STOP
U+06EC,?,219172,ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE
U+06ED,?,219173,ARABIC SMALL LOW MEEM
U+06EE,?,219174,ARABIC LETTER DAL WITH INVERTED V
U+06EF,?,219175,ARABIC LETTER REH WITH INVERTED V
U+06F0,?,219176,EXTENDED ARABIC-INDIC DIGIT ZERO
U+06F1,?,219177,EXTENDED ARABIC-INDIC DIGIT ONE
U+06F2,?,219178,EXTENDED ARABIC-INDIC DIGIT TWO
U+06F3,?,219179,EXTENDED ARABIC-INDIC DIGIT THREE
U+06F4,?,219180,EXTENDED ARABIC-INDIC DIGIT FOUR
U+06F5,?,219181,EXTENDED ARABIC-INDIC DIGIT FIVE
U+06F6,?,219182,EXTENDED ARABIC-INDIC DIGIT SIX
U+06F7,?,219183,EXTENDED ARABIC-INDIC DIGIT SEVEN
U+06F8,?,219184,EXTENDED ARABIC-INDIC DIGIT EIGHT
U+06F9,?,219185,EXTENDED ARABIC-INDIC DIGIT NINE
U+06FA,?,219186,ARABIC LETTER SHEEN WITH DOT BELOW
U+06FB,?,219187,ARABIC LETTER DAD WITH DOT BELOW
U+06FC,?,219188,ARABIC LETTER GHAIN WITH DOT BELOW
U+06FD,?,219189,ARABIC SIGN SINDHI AMPERSAND
U+06FE,?,219190,ARABIC SIGN SINDHI POSTPOSITION MEN
U+06FF,?,219191,ARABIC LETTER HEH WITH INVERTED V
